Source;Target;Kind;Función Follo;Función Frie;Followers
jonatan_andreyy;CarlosSancheB;friend;follower;#N/D;desactiv0
CuerpoTibio77;CarlosSancheB;friend;follower;#N/D;AnthoshKras
colddbg;CarlosSancheB;friend;follower;#N/D;sebassruizz
CarlitosXXX8;CarlosSancheB;friend;follower;#N/D;solohtrs
elsemblante;CarlosSancheB;friend;follower;#N/D;VLsonn
JulianFMartinez;CarlosSancheB;friend;follower;#N/D;blackwood_20
MeowPowerBoy;CarlosSancheB;mutual;follower;MeowPowerBoy;Daaaavidb00
marcooscf;CarlosSancheB;friend;follower;#N/D;EiderCortez2
bbyozy;CarlosSancheB;friend;follower;#N/D;No_oMeRo
mja_boy;CarlosSancheB;friend;mutual;#N/D;IsmaelQueen
UnaTomboy;CarlosSancheB;friend;follower;#N/D;DegeoisS
sishe_;CarlosSancheB;friend;follower;#N/D;tj_lames
BoysCartoon;CarlosSancheB;friend;follower;#N/D;SergioA37461590
Andresvargass2;CarlosSancheB;mutual;follower;Andresvargass2;neegroo__
kevincaligay;CarlosSancheB;friend;mutual;#N/D;MeowPowerBoy
elcolombianoxxx;CarlosSancheB;friend;follower;#N/D;Flaco952
cumgays;CarlosSancheB;friend;follower;#N/D;andreffi
tubbardiente;CarlosSancheB;mutual;follower;tubbardiente;cucukold33dostu
Kevin_CP11;CarlosSancheB;friend;mutual;#N/D;Andresvargass2
juepiterrr;CarlosSancheB;friend;mutual;#N/D;tubbardiente
David_Sulliv;CarlosSancheB;friend;follower;#N/D;sexparejabgt2
taecamargo__;CarlosSancheB;friend;follower;#N/D;Sandrin10320068
FernandoB_1998;CarlosSancheB;friend;follower;#N/D;2030_WAIL
IsmaelQueen;CarlosSancheB;mutual;follower;IsmaelQueen;Iuisvillamonte
PeachyBoysTW;CarlosSancheB;friend;follower;#N/D;Cam8310150
IgualdadLGBT;CarlosSancheB;friend;follower;#N/D;bieue_
PabloMontoyaV;CarlosSancheB;friend;follower;#N/D;santiag01383708
Diegooop_;CarlosSancheB;friend;follower;#N/D;beticopalomares
TwinkSquatXXX;CarlosSancheB;friend;follower;#N/D;pc_pipe
juancamiloospi3;CarlosSancheB;friend;follower;#N/D;TatanLesDice
queenjuandy;CarlosSancheB;friend;follower;#N/D;bradinter
lawrencecoxx;CarlosSancheB;friend;follower;#N/D;MontBogt
JuanseAlarcon01;CarlosSancheB;friend;follower;#N/D;CarlosC43706891
ingcritica;CarlosSancheB;friend;follower;#N/D;2000Manengo
BeluLawson;CarlosSancheB;friend;follower;#N/D;LkwW7q
xsberso;CarlosSancheB;friend;follower;#N/D;yonicastano1
varo_lpz;CarlosSancheB;friend;follower;#N/D;MUNDOCRAZYMMM
aandresp_;CarlosSancheB;friend;follower;#N/D;juanjosax24
BrightWinPhoto;CarlosSancheB;friend;follower;#N/D;carmennortiz_
joeelcastilloo;CarlosSancheB;friend;follower;#N/D;Bryaan_serrano
soydanpr;CarlosSancheB;friend;follower;#N/D;6HvgIsI7S5S1Yt3
disfrutohot;CarlosSancheB;friend;follower;#N/D;43M4JTQdw3u5N7Y
_leofb;CarlosSancheB;friend;follower;#N/D;Cristia53472836
LeonardoColli19;CarlosSancheB;friend;follower;#N/D;AlecOllyver
kevinpabon_;CarlosSancheB;friend;follower;#N/D;Estrovertido191
LuisitoDosReis;CarlosSancheB;friend;follower;#N/D;jhonsebas01
calm2k;CarlosSancheB;friend;follower;#N/D;Alejand91660453
elpotess;CarlosSancheB;friend;follower;#N/D;Versa507
ca_milogalvis;CarlosSancheB;friend;follower;#N/D;Carlosromerog5
mateoroblesss;CarlosSancheB;friend;follower;#N/D;rene20astro
desactiv0;CarlosSancheB;follower;;;
AnthoshKras;CarlosSancheB;follower;;;
sebassruizz;CarlosSancheB;follower;;;
solohtrs;CarlosSancheB;follower;;;
VLsonn;CarlosSancheB;follower;;;
blackwood_20;CarlosSancheB;follower;;;
Daaaavidb00;CarlosSancheB;follower;;;
EiderCortez2;CarlosSancheB;follower;;;
No_oMeRo;CarlosSancheB;follower;;;
DegeoisS;CarlosSancheB;follower;;;
tj_lames;CarlosSancheB;follower;;;
SergioA37461590;CarlosSancheB;follower;;;
neegroo__;CarlosSancheB;follower;;;
Flaco952;CarlosSancheB;follower;;;
andreffi;CarlosSancheB;follower;;;
cucukold33dostu;CarlosSancheB;follower;;;
sexparejabgt2;CarlosSancheB;follower;;;
Sandrin10320068;CarlosSancheB;follower;;;
2030_WAIL;CarlosSancheB;follower;;;
Iuisvillamonte;CarlosSancheB;follower;;;
Cam8310150;CarlosSancheB;follower;;;
bieue_;CarlosSancheB;follower;;;
santiag01383708;CarlosSancheB;follower;;;
beticopalomares;CarlosSancheB;follower;;;
pc_pipe;CarlosSancheB;follower;;;
TatanLesDice;CarlosSancheB;follower;;;
bradinter;CarlosSancheB;follower;;;
MontBogt;CarlosSancheB;follower;;;
CarlosC43706891;CarlosSancheB;follower;;;
2000Manengo;CarlosSancheB;follower;;;
LkwW7q;CarlosSancheB;follower;;;
yonicastano1;CarlosSancheB;follower;;;
MUNDOCRAZYMMM;CarlosSancheB;follower;;;
juanjosax24;CarlosSancheB;follower;;;
carmennortiz_;CarlosSancheB;follower;;;
Bryaan_serrano;CarlosSancheB;follower;;;
6HvgIsI7S5S1Yt3;CarlosSancheB;follower;;;
43M4JTQdw3u5N7Y;CarlosSancheB;follower;;;
Cristia53472836;CarlosSancheB;follower;;;
AlecOllyver;CarlosSancheB;follower;;;
Estrovertido191;CarlosSancheB;follower;;;
jhonsebas01;CarlosSancheB;follower;;;
Alejand91660453;CarlosSancheB;follower;;;
Versa507;CarlosSancheB;follower;;;
Carlosromerog5;CarlosSancheB;follower;;;
rene20astro;CarlosSancheB;follower;;;
