Source;Target;Kind;Función Follo;Función Frie;Followers
andrefelgiraldo;CronicasDeRafa;friend;follower;#N/D;Jorge18176854
elReneJimenez;CronicasDeRafa;friend;follower;#N/D;JeanSierra11
AMARANTA_2016;CronicasDeRafa;friend;follower;#N/D;Lucianitassj
Cuagliarelat2;CronicasDeRafa;friend;follower;#N/D;KevinSizaI
frandoauc;CronicasDeRafa;friend;follower;#N/D;JohnnyElProfe
danigilletVC;CronicasDeRafa;friend;follower;#N/D;jkoss17
higirio_alberto;CronicasDeRafa;friend;follower;#N/D;serna_furibundo
elteleshowTV;CronicasDeRafa;friend;follower;#N/D;LiliBoteroBote1
migueldelrioabg;CronicasDeRafa;friend;follower;#N/D;carlosC10M
MadameSiimone;CronicasDeRafa;friend;follower;#N/D;RkjSegovia
platanalnewz;CronicasDeRafa;friend;follower;#N/D;lulysenior
twit19702;CronicasDeRafa;friend;follower;#N/D;andrunegrita
LUISEROLAVE;CronicasDeRafa;friend;follower;#N/D;ivanparra01
mateushernando;CronicasDeRafa;friend;follower;#N/D;RAFAGOMEZ_06
locofeliz600405;CronicasDeRafa;friend;follower;#N/D;guspergo2
EscribidorMao;CronicasDeRafa;friend;follower;#N/D;apulidopinto
AquinoTicias1;CronicasDeRafa;friend;follower;#N/D;Bj_Blanco99
CDNewsCol;CronicasDeRafa;friend;follower;#N/D;villegas_espada
elquelosdeIata;CronicasDeRafa;friend;follower;#N/D;Ferdinan1206
MrCarvajalino;CronicasDeRafa;friend;follower;#N/D;juliodimas2007
Marianiniecheve;CronicasDeRafa;friend;follower;#N/D;luzmcaro
alzadoencanto;CronicasDeRafa;friend;follower;#N/D;GomezDavid92
FisicoImpuro;CronicasDeRafa;friend;follower;#N/D;jaimelromero
Rivas_Santiago;CronicasDeRafa;friend;follower;#N/D;amcamargodg
CarlosCortes;CronicasDeRafa;friend;follower;#N/D;Nano47270700
datoatipico;CronicasDeRafa;friend;follower;#N/D;SaulGaleano10
PartidoVerdeCoL;CronicasDeRafa;friend;follower;#N/D;ROMARIO20575446
DCoronell;CronicasDeRafa;friend;follower;#N/D;Liliana08366439
Contravia;CronicasDeRafa;friend;follower;#N/D;AlejandroVJ54
AndresRengifoL;CronicasDeRafa;friend;follower;#N/D;Alevarnieto
LosConfinados;CronicasDeRafa;friend;follower;#N/D;LEYDIMALDONADOQ
Tercer_Canal;CronicasDeRafa;friend;follower;#N/D;Feerromero14
pajon_lauraR;CronicasDeRafa;friend;follower;#N/D;Diego85388372
TrinoCocus;CronicasDeRafa;friend;follower;#N/D;tombobmx
TRINITO91;CronicasDeRafa;friend;follower;#N/D;matiasgomez73
AntonioBohrquez;CronicasDeRafa;friend;follower;#N/D;pinacoladat
MirandaBogota;CronicasDeRafa;friend;follower;#N/D;FedericNieves
MajoDoria;CronicasDeRafa;friend;follower;#N/D;faro950
merv59;CronicasDeRafa;friend;follower;#N/D;enriquepinedo1
lanuevaprensaco;CronicasDeRafa;friend;follower;#N/D;SiSyPrimera
LasIgualadas;CronicasDeRafa;friend;follower;#N/D;dugamgui
LigaNoSilencio;CronicasDeRafa;friend;follower;#N/D;JOTAJ817
jkrincon;CronicasDeRafa;friend;follower;#N/D;RocoPer78704703
