Source;Target;Kind;Función Follo;Función Frie;Followers
ghitis;JuanCTorres14;friend;follower;#N/D;antetodoco
AlcaldiaLaMesa;JuanCTorres14;friend;follower;#N/D;Yaneth25reyes
MunAnapoima;JuanCTorres14;friend;mutual;#N/D;paolauruenag
MLoteroRobledo;JuanCTorres14;friend;follower;#N/D;MelissaTores89
cruzrojabogota;JuanCTorres14;friend;follower;#N/D;Rocedial23
EPC_SA;JuanCTorres14;friend;follower;#N/D;johntorres__
MujerGeneroCund;JuanCTorres14;friend;follower;#N/D;grupogemma
paolauruenag;JuanCTorres14;mutual;follower;paolauruenag;ConJohnnatan
ICCUGOB;JuanCTorres14;friend;follower;#N/D;Nikolayp16
PlaneacionCund;JuanCTorres14;friend;follower;#N/D;_m_serrano
YolimaMoraS;JuanCTorres14;friend;follower;#N/D;Santi27187039
JuanSeArangoC;JuanCTorres14;friend;follower;#N/D;andresfriveraf
OficialELC;JuanCTorres14;friend;follower;#N/D;Fgor83Or
ElQueLosDELATA;JuanCTorres14;friend;mutual;#N/D;ACatacoli
matarifeco;JuanCTorres14;friend;mutual;#N/D;ingjuliovega
homecenter_cl;JuanCTorres14;friend;follower;#N/D;jersonyepa
laguajiracol_;JuanCTorres14;friend;follower;#N/D;AngieLorenaTo15
alcaldiachia;JuanCTorres14;friend;follower;#N/D;luisaduran2020
AlcFusagasuga;JuanCTorres14;friend;follower;#N/D;johnnojhon
LosDanielesOp;JuanCTorres14;friend;follower;#N/D;LauraTo28823420
NegrosConAtaud;JuanCTorres14;friend;follower;#N/D;ointech
lagordafabiola;JuanCTorres14;friend;follower;#N/D;figuerjoda
PrimeVideoLat;JuanCTorres14;friend;follower;#N/D;camilo910102
OmarFelipeRange;JuanCTorres14;friend;follower;#N/D;TSPazcifico
SectorSalud;JuanCTorres14;friend;follower;#N/D;RepizoHelenita
ElDoradoRadioCo;JuanCTorres14;friend;follower;#N/D;rioespejo
jairbolsonaro;JuanCTorres14;friend;follower;#N/D;JuanTor06971653
charoguerra;JuanCTorres14;friend;follower;#N/D;astridv79557047
CARLOSFMEJIA;JuanCTorres14;friend;follower;#N/D;Dani_Matamoros
jeronimoauribem;JuanCTorres14;friend;follower;#N/D;Natishhh
AsambleadeCund;JuanCTorres14;friend;follower;#N/D;Natalia92484257
SeguridadBOG;JuanCTorres14;friend;follower;#N/D;juanfcoronado
SecGobCundi;JuanCTorres14;friend;follower;#N/D;mariob46
CAR_Cundi;JuanCTorres14;friend;follower;#N/D;Orlando01595523
ACatacoli;JuanCTorres14;mutual;follower;ACatacoli;AratsaPOP
RCUNDINAMARCA;JuanCTorres14;friend;follower;#N/D;EncuestasCifras
glherrera;JuanCTorres14;friend;follower;#N/D;crisbarajas02
ingjuliovega;JuanCTorres14;mutual;follower;ingjuliovega;LinaMaraIdrobo1
ProfamiliaCol;JuanCTorres14;friend;follower;#N/D;luismorales0621
CathyJuvinao;JuanCTorres14;friend;follower;#N/D;EYColombia
AeropuertoMDE;JuanCTorres14;friend;follower;#N/D;juntosyunidospg
honohenriquez;JuanCTorres14;friend;follower;#N/D;OFFCORSS
AmarantaHank;JuanCTorres14;friend;follower;#N/D;OvidioHCardona
AlcaldiaQuibdo;JuanCTorres14;friend;follower;#N/D;jjuliopote
BturaDe;JuanCTorres14;friend;follower;#N/D;DianaHi35391564
CundinamarcaGob;JuanCTorres14;friend;follower;#N/D;lorakpamela
JorgeEmilioRey;JuanCTorres14;friend;follower;#N/D;SAESAS1
nicolasgarciab;JuanCTorres14;friend;follower;#N/D;holdthemenu
PT_DNPColombia;JuanCTorres14;friend;follower;#N/D;sinencolombia
JoseCarlosTecno;JuanCTorres14;friend;follower;#N/D;LinuxMa
antetodoco;JuanCTorres14;follower;;;
Yaneth25reyes;JuanCTorres14;follower;;;
MelissaTores89;JuanCTorres14;follower;;;
Rocedial23;JuanCTorres14;follower;;;
johntorres__;JuanCTorres14;follower;;;
grupogemma;JuanCTorres14;follower;;;
ConJohnnatan;JuanCTorres14;follower;;;
Nikolayp16;JuanCTorres14;follower;;;
_m_serrano;JuanCTorres14;follower;;;
Santi27187039;JuanCTorres14;follower;;;
andresfriveraf;JuanCTorres14;follower;;;
Fgor83Or;JuanCTorres14;follower;;;
jersonyepa;JuanCTorres14;follower;;;
AngieLorenaTo15;JuanCTorres14;follower;;;
luisaduran2020;JuanCTorres14;follower;;;
johnnojhon;JuanCTorres14;follower;;;
LauraTo28823420;JuanCTorres14;follower;;;
ointech;JuanCTorres14;follower;;;
figuerjoda;JuanCTorres14;follower;;;
camilo910102;JuanCTorres14;follower;;;
TSPazcifico;JuanCTorres14;follower;;;
RepizoHelenita;JuanCTorres14;follower;;;
rioespejo;JuanCTorres14;follower;;;
JuanTor06971653;JuanCTorres14;follower;;;
astridv79557047;JuanCTorres14;follower;;;
Dani_Matamoros;JuanCTorres14;follower;;;
Natishhh;JuanCTorres14;follower;;;
Natalia92484257;JuanCTorres14;follower;;;
juanfcoronado;JuanCTorres14;follower;;;
mariob46;JuanCTorres14;follower;;;
Orlando01595523;JuanCTorres14;follower;;;
AratsaPOP;JuanCTorres14;follower;;;
EncuestasCifras;JuanCTorres14;follower;;;
crisbarajas02;JuanCTorres14;follower;;;
LinaMaraIdrobo1;JuanCTorres14;follower;;;
luismorales0621;JuanCTorres14;follower;;;
EYColombia;JuanCTorres14;follower;;;
juntosyunidospg;JuanCTorres14;follower;;;
OFFCORSS;JuanCTorres14;follower;;;
OvidioHCardona;JuanCTorres14;follower;;;
jjuliopote;JuanCTorres14;follower;;;
DianaHi35391564;JuanCTorres14;follower;;;
lorakpamela;JuanCTorres14;follower;;;
SAESAS1;JuanCTorres14;follower;;;
holdthemenu;JuanCTorres14;follower;;;
sinencolombia;JuanCTorres14;follower;;;
LinuxMa;JuanCTorres14;follower;;;
