Source;Target;Kind;Función Follo;Función Frie;Followers
ElQueLosDELATA;Lucifer34495768;friend;follower;#N/D;Juan98087001
777Luisa_;Lucifer34495768;mutual;follower;777Luisa_;ChefAnalu
MamaDeYisus;Lucifer34495768;friend;follower;#N/D;Juan88448475
RevistaMigala;Lucifer34495768;friend;follower;#N/D;jaenpava
_rastasoul;Lucifer34495768;friend;follower;#N/D;Jgiraldo09
nikoarrieta;Lucifer34495768;friend;follower;#N/D;thisrocketqueen
EriitheD;Lucifer34495768;friend;follower;#N/D;A11EN17
Juan98087001;Lucifer34495768;follower;;;MachadoAlejo
ChefAnalu;Lucifer34495768;follower;;;lilith66594637
Juan88448475;Lucifer34495768;follower;;;ACrizler
jaenpava;Lucifer34495768;follower;;;MariaAmezquit4
Jgiraldo09;Lucifer34495768;follower;;;niurka_tovar
thisrocketqueen;Lucifer34495768;follower;;;Daniel59825290
A11EN17;Lucifer34495768;follower;;;JessicaGordil20
MachadoAlejo;Lucifer34495768;follower;;;MAET12
lilith66594637;Lucifer34495768;follower;;;josedomingojn
ACrizler;Lucifer34495768;follower;;;777Luisa_
MariaAmezquit4;Lucifer34495768;follower;;;Fatuesta2
niurka_tovar;Lucifer34495768;follower;;;MeQuieroMatar11
Daniel59825290;Lucifer34495768;follower;;;smg109191127253
JessicaGordil20;Lucifer34495768;follower;;;BatTuitter
MAET12;Lucifer34495768;follower;;;SandovalMabe
josedomingojn;Lucifer34495768;follower;;;Stefa18_h
Fatuesta2;Lucifer34495768;follower;;;silvica23
MeQuieroMatar11;Lucifer34495768;follower;;;LuisDavidRios16
smg109191127253;Lucifer34495768;follower;;;MCG0806
BatTuitter;Lucifer34495768;follower;;;LauraLeandraSu1
SandovalMabe;Lucifer34495768;follower;;;AndreitaAcevedo
Stefa18_h;Lucifer34495768;follower;;;Daniipgg
silvica23;Lucifer34495768;follower;;;joelysEliana
LuisDavidRios16;Lucifer34495768;follower;;;PaolaAl19347454
MCG0806;Lucifer34495768;follower;;;Gabrielam_1807
LauraLeandraSu1;Lucifer34495768;follower;;;nati_bdoya
AndreitaAcevedo;Lucifer34495768;follower;;;dlourido04
Daniipgg;Lucifer34495768;follower;;;Andresmoca1
joelysEliana;Lucifer34495768;follower;;;alixflorez
PaolaAl19347454;Lucifer34495768;follower;;;Martinpuentes1
Gabrielam_1807;Lucifer34495768;follower;;;dica118
nati_bdoya;Lucifer34495768;follower;;;tatianag1
dlourido04;Lucifer34495768;follower;;;fer_clavijob
Andresmoca1;Lucifer34495768;follower;;;pendejos_2
alixflorez;Lucifer34495768;follower;;;DiabolusBirotae
Martinpuentes1;Lucifer34495768;follower;;;CaritoR01893505
dica118;Lucifer34495768;follower;;;Lorena19q0
tatianag1;Lucifer34495768;follower;;;LuisDavidRos2
fer_clavijob;Lucifer34495768;follower;;;agelita78
pendejos_2;Lucifer34495768;follower;;;amedrano81
DiabolusBirotae;Lucifer34495768;follower;;;jdocampo13
CaritoR01893505;Lucifer34495768;follower;;;rodolfoorozco16
Lorena19q0;Lucifer34495768;follower;;;seasickness00
LuisDavidRos2;Lucifer34495768;follower;;;
agelita78;Lucifer34495768;follower;;;
amedrano81;Lucifer34495768;follower;;;
jdocampo13;Lucifer34495768;follower;;;
rodolfoorozco16;Lucifer34495768;follower;;;
seasickness00;Lucifer34495768;follower;;;
