Source;Target;Kind;Funci�n Follo;Funci�n Frie;Followers
Val3BLR;Nam__mk;mutual;mutual;Val3BLR;Val3BLR
subbieomega;Nam__mk;friend;mutual;#N/D;kthjjknv2
kthjjknv2;Nam__mk;mutual;mutual;kthjjknv2;TCxxSteph
tercosmicqueen;Nam__mk;friend;mutual;#N/D;WinterGlowV
Boomeetsevil;Nam__mk;friend;mutual;#N/D;Hobito_Jung18
namseokgay;Nam__mk;friend;follower;#N/D;Lau252001
de0ksz;Nam__mk;friend;follower;#N/D;_DCmultiverse_
TCxxSteph;Nam__mk;mutual;follower;TCxxSteph;hhyailxrt
dogo1995;Nam__mk;friend;follower;#N/D;_lorelu
quaphadoodle;Nam__mk;friend;follower;#N/D;blue_moon1306
WinterGlowV;Nam__mk;mutual;follower;WinterGlowV;jesselovesvodka
Hobito_Jung18;Nam__mk;mutual;follower;Hobito_Jung18;maria_jose0701
Mokkamimi;Nam__mk;friend;follower;#N/D;juxerxvelasco2
Lau252001;Nam__mk;follower;follower;Lau252001;DanBangtan25
_DCmultiverse_;Nam__mk;follower;follower;_DCmultiverse_;milkigiii
hhyailxrt;Nam__mk;follower;follower;hhyailxrt;taezasel
_lorelu;Nam__mk;follower;follower;_lorelu;Darys15036280
blue_moon1306;Nam__mk;follower;follower;blue_moon1306;taewinterus
jesselovesvodka;Nam__mk;follower;follower;jesselovesvodka;isnotttkaroll
maria_jose0701;Nam__mk;follower;follower;maria_jose0701;amarill47732211
juxerxvelasco2;Nam__mk;follower;follower;juxerxvelasco2; 🇨🇴
DanBangtan25;Nam__mk;follower;follower;DanBangtan25;Minlau_bangtan
milkigiii;Nam__mk;follower;follower;milkigiii;Estefawinteron
taezasel;Nam__mk;follower;follower;taezasel;maripau1126
Darys15036280;Nam__mk;follower;follower;Darys15036280;Majitowithluv
taewinterus;Nam__mk;follower;follower;taewinterus;innerbytete
isnotttkaroll;Nam__mk;follower;follower;isnotttkaroll;JohnCena
amarill47732211;Nam__mk;follower;follower;amarill47732211;_hopegguk
 🇨🇴;Nam__mk;follower;follower; 🇨🇴;FoodHechaporJin
Minlau_bangtan;Nam__mk;follower;follower;Minlau_bangtan;kookie_jenni
Estefawinteron;Nam__mk;follower;follower;Estefawinteron;CamilaCastroPa4
maripau1126;Nam__mk;follower;follower;maripau1126;bangtan_jhp
Majitowithluv;Nam__mk;follower;follower;Majitowithluv;kagurabestgirl
innerbytete;Nam__mk;follower;follower;innerbytete;bangwhalien
JohnCena;Nam__mk;follower;follower;JohnCena;_ygmoonlight
_hopegguk;Nam__mk;follower;follower;_hopegguk;Jeonkookisa
FoodHechaporJin;Nam__mk;follower;follower;FoodHechaporJin;meteorbts
kookie_jenni;Nam__mk;follower;follower;kookie_jenni;JustSummer93
CamilaCastroPa4;Nam__mk;follower;follower;CamilaCastroPa4;jenniiroki
bangtan_jhp;Nam__mk;follower;follower;bangtan_jhp;everyyholland
kagurabestgirl;Nam__mk;follower;follower;kagurabestgirl;GalletalunarOk
bangwhalien;Nam__mk;follower;follower;bangwhalien;vntear
_ygmoonlight;Nam__mk;follower;follower;_ygmoonlight;Jimin_mylight_
Jeonkookisa;Nam__mk;follower;follower;Jeonkookisa;mochizois
meteorbts;Nam__mk;follower;follower;meteorbts;hollandftgomez
JustSummer93;Nam__mk;follower;follower;JustSummer93;yoonpeony
jenniiroki;Nam__mk;follower;follower;jenniiroki;Yoongi_kpo
everyyholland;Nam__mk;follower;follower;everyyholland;jhoptiny
GalletalunarOk;Nam__mk;follower;follower;GalletalunarOk;fixmeyatra
vntear;Nam__mk;follower;follower;vntear;Doveligguk
Jimin_mylight_;Nam__mk;follower;;;
mochizois;Nam__mk;follower;;;
hollandftgomez;Nam__mk;follower;;;
yoonpeony;Nam__mk;follower;;;
Yoongi_kpo;Nam__mk;follower;;;
jhoptiny;Nam__mk;follower;;;
fixmeyatra;Nam__mk;follower;;;
Doveligguk;Nam__mk;follower;;;
