Source;Target;Kind;Función Follo;Función Frie;Followers
JhoanManuelMed2;iLordPorky;friend;follower;#N/D;PetroElCacas
Farouk_saints;iLordPorky;friend;follower;#N/D;ImpulsiveTalent
CardonaNL;iLordPorky;friend;mutual;#N/D;papoaminCD
soycamilovargas;iLordPorky;mutual;mutual;soycamilovargas;soycamilovargas
Vicky71866041;iLordPorky;friend;mutual;#N/D;leidianecarris
JuanManuelSG_;iLordPorky;friend;follower;#N/D;JuanCar42944417
papoaminCD;iLordPorky;mutual;follower;papoaminCD;JuanManuelCif21
nenitamuak14;iLordPorky;friend;follower;#N/D;ZapataFrey
leidianecarris;iLordPorky;mutual;follower;leidianecarris;rjmoralesbravo
MisterIntruso;iLordPorky;friend;follower;#N/D;patricita2301
TheRightMelissa;iLordPorky;friend;follower;#N/D;17Eba
ramos_velandia;iLordPorky;friend;follower;#N/D;santyagrouch
DaniloNarbonaL;iLordPorky;friend;follower;#N/D;PedroPabloBetan
entrepreneurKL;iLordPorky;friend;mutual;#N/D;Mr_Jnovik
maosilvapop;iLordPorky;friend;mutual;#N/D;2Colombianisima
SdrodriguezT;iLordPorky;friend;follower;#N/D;hamdoulie
DionisioHermes;iLordPorky;friend;mutual;#N/D;caanosto
andresmania;iLordPorky;friend;follower;#N/D;ChenchisTu
criticolombia;iLordPorky;friend;mutual;#N/D;velandiacarmela
Richie_Gomez;iLordPorky;friend;mutual;#N/D;ElExtuiteado
Mr_Jnovik;iLordPorky;mutual;follower;Mr_Jnovik;exoticoperverso
2Colombianisima;iLordPorky;mutual;follower;2Colombianisima;its_amontes
elonmusk;iLordPorky;friend;follower;#N/D;maomolanoc
PRangelMejia;iLordPorky;friend;follower;#N/D;IgnacioC_23
caanosto;iLordPorky;mutual;follower;caanosto;jjhincapief
JPEcheverry4;iLordPorky;friend;follower;#N/D;YoSoloyosiempre
omarvmurcia;iLordPorky;mutual;follower;omarvmurcia;pablo0314
velandiacarmela;iLordPorky;mutual;mutual;velandiacarmela;javitovega
prageru;iLordPorky;friend;follower;#N/D;GladiatorCol
IsabellaWills;iLordPorky;friend;mutual;#N/D;JuanJGarcia99
SoyGaminKB24;iLordPorky;friend;mutual;#N/D;omarvmurcia
ElExtuiteado;iLordPorky;mutual;follower;ElExtuiteado;dgarciabonilla
JAOS1977;iLordPorky;mutual;follower;JAOS1977;munemilo
javitovega;iLordPorky;mutual;follower;javitovega;FabianCMoreno77
JuanJGarcia99;iLordPorky;mutual;follower;JuanJGarcia99;SantanaS043
ParcheCapuchino;iLordPorky;friend;follower;#N/D;fabianrenecast1
HippieCompleto;iLordPorky;friend;follower;#N/D;Atena81096805
West01Santiago;iLordPorky;friend;mutual;#N/D;JAOS1977
julianrefous;iLordPorky;friend;follower;#N/D;vidalfabian24
pipemarulo1981;iLordPorky;mutual;mutual;pipemarulo1981;pipemarulo1981
QuotesforGoal;iLordPorky;friend;follower;#N/D;Stev0214
Karloss8517;iLordPorky;friend;follower;#N/D;mario198613
tropicalia115;iLordPorky;friend;follower;#N/D;33Jica
CzarsMolins;iLordPorky;friend;follower;#N/D;sergiolugo1
_MrAndres;iLordPorky;friend;follower;#N/D;oscar_gallego
AdamSmithFree;iLordPorky;friend;follower;#N/D;alejooo636
ImAbracadabra;iLordPorky;friend;follower;#N/D;davidgon0917
jarizabaletaf;iLordPorky;friend;follower;#N/D;DanielaAlape4
WhiteHouse;iLordPorky;friend;follower;#N/D;jofefolo
EricTrump;iLordPorky;friend;follower;#N/D;jileonal
PetroElCacas;iLordPorky;follower;;;
ImpulsiveTalent;iLordPorky;follower;;;
JuanCar42944417;iLordPorky;follower;;;
JuanManuelCif21;iLordPorky;follower;;;
ZapataFrey;iLordPorky;follower;;;
rjmoralesbravo;iLordPorky;follower;;;
patricita2301;iLordPorky;follower;;;
17Eba;iLordPorky;follower;;;
santyagrouch;iLordPorky;follower;;;
PedroPabloBetan;iLordPorky;follower;;;
hamdoulie;iLordPorky;follower;;;
ChenchisTu;iLordPorky;follower;;;
exoticoperverso;iLordPorky;follower;;;
its_amontes;iLordPorky;follower;;;
maomolanoc;iLordPorky;follower;;;
IgnacioC_23;iLordPorky;follower;;;
jjhincapief;iLordPorky;follower;;;
YoSoloyosiempre;iLordPorky;follower;;;
pablo0314;iLordPorky;follower;;;
GladiatorCol;iLordPorky;follower;;;
dgarciabonilla;iLordPorky;follower;;;
munemilo;iLordPorky;follower;;;
FabianCMoreno77;iLordPorky;follower;;;
SantanaS043;iLordPorky;follower;;;
fabianrenecast1;iLordPorky;follower;;;
Atena81096805;iLordPorky;follower;;;
vidalfabian24;iLordPorky;follower;;;
Stev0214;iLordPorky;follower;;;
mario198613;iLordPorky;follower;;;
33Jica;iLordPorky;follower;;;
sergiolugo1;iLordPorky;follower;;;
oscar_gallego;iLordPorky;follower;;;
alejooo636;iLordPorky;follower;;;
davidgon0917;iLordPorky;follower;;;
DanielaAlape4;iLordPorky;follower;;;
jofefolo;iLordPorky;follower;;;
jileonal;iLordPorky;follower;;;
