;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;17:01;;;;;;;;;;;;;;;
;>>> Analyzed user:;jsantiagowx;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
1;388416275;Juan M. Banquez;don_juan13;Futbol y política...c´est amusant to talk about it.;http://pbs.twimg.com/profile_images/1066010208349143040/Yrbw47kd_normal.jpg;http://abs.twimg.com/images/themes/theme2/bg.gif;10/10/2011 18:19;;;False;4230;4347;6372;6;4103;False;
2;1,23E+30;Rayito de 🌞de la mañana;rayitodesol71;"""MUJER DE UN GITANO 😍HERMOSO Y ORGULLOSO""(ANTIURIBISTA AL 1000%)SI NO TE GUSTA NO ME SIGAS,ME PRODUCEN ASCO🤮";http://pbs.twimg.com/profile_images/1272898783592972289/M_i86tea_normal.jpg;;13/02/2020 19:31;Cartagena tierra mía🏖️☀️🐠🏝️;;False;1750;2557;5326;1;12344;False;
3;1,25E+32;Javier;Javier54694122;soy creativo,sociable, me gusta leer,cine,tengo un carácter fuerte,soy muy apasionado;http://pbs.twimg.com/profile_images/1278461049944059904/j_68RkaM_normal.jpg;;08/04/2020 10:07;;;False;3;263;168;0;263;False;
4;7,14E+31;Mujer Mamerta;MujerMamerta;Si usted es uribista es mejor que no me siga. Se va a emputar dos veces: Cuando le hable mal de su mesías y cuando ignore sus insultos. No se amargue.;http://pbs.twimg.com/profile_images/1205875822814547970/R0NLj9Es_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;28/03/2016 11:37;Colombia;;True;14905;8577;100906;19;69708;False;
5;7,95E+31;Javier Alfonso Bohor;Jaborq;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;06/11/2016 2:26;;;True;507;1801;12433;0;1842;False;
6;1,26E+32;Bazarov.;AmaFe20;Nihilista escatológico. Soy caleño y no bailo salsa. Amante del chontaduro.;http://pbs.twimg.com/profile_images/1273021591069343747/YvpHaWuf_normal.jpg;;24/05/2020 16:54;;;False;522;1036;3570;0;6077;False;
7;8,90E+31;Jhonatan sanchez;jasanchez811;laboratorista de  laboratorios SGS Colombia. musico estudios realizados en IE luis Carlos Galán ..Sena.. universidad del Tolima y por supuesto PETRISTA..;http://pbs.twimg.com/profile_images/1276217940489183234/KQRK7Twz_normal.jpg;;26/07/2017 17:50;Bogotá, D.C., Colombia;;False;169;485;1439;0;2548;False;
8;1,26E+32;Rafael;elsonambulante;"Intento de políglota, licenciado en idiomas 🇨🇴 Perdí acceso a mi antigua cuenta ""lokombiano"" #AntiUribistaSigueAntiUribista";http://pbs.twimg.com/profile_images/1267549360331644937/rumZHWjg_normal.jpg;;02/05/2020 21:44;;;False;1093;1460;128;0;200;False;
9;352342683;El Brico;Afbrico;#ElProfeDeFút⚽;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"Las opiniones acá expresadas no reflejan las de mis gatos ni las posiciones de las instituciones con las cuales tengo obligaciones contractuales""";http://pbs.twimg.com/profile_images/1179788702048018432/6cVpMBge_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;10/08/2011 13:51;Polombia;;True;25519;25389;26773;25;53700;False;;;;;
10;9,95E+31;Derli López;derlopeza;#Activistapolitíca #DDHH | #Ambientalista por conveniencia | La #Fotografía mi liberación... 🇨🇴 Insta / Face: @derlopeza;http://pbs.twimg.com/profile_images/1280555316665552896/kx2LZPdn_normal.jpg;;12/05/2018 19:05;Colombia ;;False;16591;7066;15766;21;12197;False;
11;457220509;𝙳𝚊𝙼𝚊𝚞𝚛𝚘🌎;jmdiaz28;;http://pbs.twimg.com/profile_images/1249079266526081026/lM083scO_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;07/01/2012 4:54;New Jersey, USA;;True;91;448;1797;0;5682;False;
12;2295504656;Edwin zagi;edwinzagi;todavia soñando con un mundo mejor...;http://pbs.twimg.com/profile_images/1279419234100142080/_QPmpM9X_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;17/01/2014 5:08;;;False;1150;1727;801;0;3299;False;
13;458564104;☞Olimpo osorio;Olimpo_O_R;EST.sistemas💻Sena;http://pbs.twimg.com/profile_images/1237957806529134593/322UohI9_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;08/01/2012 18:15;Neiva, Colombia;;True;104;286;930;1;7454;False;
14;184491812;Andrés Martínez C.;edanmar80;;http://pbs.twimg.com/profile_images/1190058154131939328/DY0FYixw_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;29/08/2010 18:10;Ibagué, Colombia;;True;930;391;39647;4;42916;False;
15;1,27E+32;Homólogo;Homlogo1;gato mamerto;;;;;;;;;;;;;
