Source;Target;Kind;Función Follo;Función Frie;Followers
MariaPradaU;jsantiagowx;friend;follower;#N/D;don_juan13
LuchaDeVoces;jsantiagowx;friend;follower;#N/D;rayitodesol71
AlejandraTuk;jsantiagowx;friend;follower;#N/D;Javier54694122
andrefelgiraldo;jsantiagowx;friend;follower;#N/D;MujerMamerta
derlopeza;jsantiagowx;mutual;follower;derlopeza;Jaborq
edwinzagi;jsantiagowx;mutual;follower;edwinzagi;AmaFe20
SandSuarez;jsantiagowx;friend;follower;#N/D;jasanchez811
NoticiasUno;jsantiagowx;friend;follower;#N/D;elsonambulante
FalaciaDelDia;jsantiagowx;friend;follower;#N/D;Afbrico
iLordPetrosky;jsantiagowx;friend;mutual;#N/D;derlopeza
Santialarconu;jsantiagowx;friend;follower;#N/D;jmdiaz28
BajaAlcurnia;jsantiagowx;friend;mutual;#N/D;edwinzagi
MJDuzan;jsantiagowx;friend;follower;#N/D;Olimpo_O_R
verozco;jsantiagowx;friend;follower;#N/D;edanmar80
Julianaramirez6;jsantiagowx;friend;follower;#N/D;Homlogo1
SaraTufanoZ;jsantiagowx;friend;follower;#N/D;GPerezPardo
gener_usuga;jsantiagowx;friend;follower;#N/D;alexroamigos
diegomatteus;jsantiagowx;friend;follower;#N/D;QueDiceSebas
teffirojitas;jsantiagowx;mutual;follower;teffirojitas;Loja2503
leuberrimo;jsantiagowx;mutual;follower;leuberrimo;EmerJiGa_m
don_juan13;jsantiagowx;follower;follower;don_juan13;Hectorf31997161
rayitodesol71;jsantiagowx;follower;follower;rayitodesol71;PaolaTorresfco
Javier54694122;jsantiagowx;follower;follower;Javier54694122;MiloAndres20
MujerMamerta;jsantiagowx;follower;follower;MujerMamerta;ConCaperucita
Jaborq;jsantiagowx;follower;follower;Jaborq;JUKARUBE
AmaFe20;jsantiagowx;follower;follower;AmaFe20;CPolombia
jasanchez811;jsantiagowx;follower;follower;jasanchez811;mcolombianodi
elsonambulante;jsantiagowx;follower;follower;elsonambulante;julian_whitex
Afbrico;jsantiagowx;follower;follower;Afbrico;aycaroola
jmdiaz28;jsantiagowx;follower;mutual;jmdiaz28;teffirojitas
Olimpo_O_R;jsantiagowx;follower;mutual;Olimpo_O_R;leuberrimo
edanmar80;jsantiagowx;follower;;;
Homlogo1;jsantiagowx;follower;;;
GPerezPardo;jsantiagowx;follower;;;
alexroamigos;jsantiagowx;follower;;;
QueDiceSebas;jsantiagowx;follower;;;
Loja2503;jsantiagowx;follower;;;
EmerJiGa_m;jsantiagowx;follower;;;
Hectorf31997161;jsantiagowx;follower;;;
PaolaTorresfco;jsantiagowx;follower;;;
MiloAndres20;jsantiagowx;follower;;;
ConCaperucita;jsantiagowx;follower;;;
JUKARUBE;jsantiagowx;follower;;;
CPolombia;jsantiagowx;follower;;;
mcolombianodi;jsantiagowx;follower;;;
julian_whitex;jsantiagowx;follower;;;
aycaroola;jsantiagowx;follower;;;
