Source;Target;Kind;Función Follo;Función Frie;Followers
GetRobuxGG;juan_sebas_gil;friend;mutual;#N/D;jheniferroa
jheniferroa;juan_sebas_gil;mutual;follower;jheniferroa;LauraEs92597914
Trolencio911_;juan_sebas_gil;friend;follower;#N/D;Analytic897
RBXNinjaSite;juan_sebas_gil;friend;follower;#N/D;sebas_zs
GodColombiano;juan_sebas_gil;friend;follower;#N/D;habib_merheg
presto_co;juan_sebas_gil;friend;follower;#N/D;dani3palaciosdj
rbxnowgg;juan_sebas_gil;friend;follower;#N/D;Jhonvalentorres
javieroliveira_;juan_sebas_gil;friend;follower;#N/D;sexyalice1997
PlayAdoptMe;juan_sebas_gil;friend;follower;#N/D;aniskaryII
JaredLeto;juan_sebas_gil;friend;follower;#N/D;GilQuimbayo
Cristiano;juan_sebas_gil;friend;follower;#N/D;Carlos_Osorio18
AgustinLaje;juan_sebas_gil;friend;follower;#N/D;hailetkissme
CarlosMiraCM;juan_sebas_gil;friend;follower;#N/D;yorladisflorez1
MerlanoManzaned;juan_sebas_gil;friend;follower;#N/D;dayerlis314
MariaJu2511;juan_sebas_gil;friend;follower;#N/D;Yenibethescorci
juanchorios14;juan_sebas_gil;friend;follower;#N/D;saharanoemi031
rrojasl;juan_sebas_gil;friend;follower;#N/D;AldahirToledo2
carlosjrobles24;juan_sebas_gil;friend;follower;#N/D;ToledoAldahir
subcantante;juan_sebas_gil;friend;follower;#N/D;AldahirtT
bigtimerush;juan_sebas_gil;friend;follower;#N/D;MechudoPte
RobinsonDiazU;juan_sebas_gil;friend;follower;#N/D;AndresGil3415
cerati;juan_sebas_gil;friend;follower;#N/D;DaysaSandoval
cdtolimafem;juan_sebas_gil;friend;follower;#N/D;nicolevh1947
BocaJrsOficial;juan_sebas_gil;friend;follower;#N/D;AliiDeivis
tostaocqt;juan_sebas_gil;friend;follower;#N/D;nicolevh86
sodastereo;juan_sebas_gil;friend;follower;#N/D;BustosRodr
GretaThunberg;juan_sebas_gil;friend;follower;#N/D;FanNikkibellab
ValenCsa;juan_sebas_gil;friend;follower;#N/D;Mariazmpe
tomorrowland;juan_sebas_gil;friend;follower;#N/D;FreeFollow3Tree
AntoGriezmann;juan_sebas_gil;friend;follower;#N/D;Free_Follow2Two
LuisErnestoGL;juan_sebas_gil;friend;follower;#N/D;lathmaf
CarlosFGalan;juan_sebas_gil;friend;follower;#N/D;IsakaryCaro
ShaniceJanice;juan_sebas_gil;friend;follower;#N/D;ElPapelHabla
OnsOranje;juan_sebas_gil;friend;follower;#N/D;altahona_jesus
oranjevrouwen;juan_sebas_gil;friend;follower;#N/D;Melaniezubiria1
s0ymia;juan_sebas_gil;friend;follower;#N/D;DayanisMarcela
DalasReview;juan_sebas_gil;friend;follower;#N/D;valeriamanja
MIAREsproject;juan_sebas_gil;friend;follower;#N/D;andrea_betan_
alexmorgan13;juan_sebas_gil;friend;follower;#N/D;AngelineC06
TransMilenio;juan_sebas_gil;friend;follower;#N/D;alice201024
marcoperez1809;juan_sebas_gil;friend;follower;#N/D;posada1105
Hentai_Neko_San;juan_sebas_gil;friend;follower;#N/D;pos_karina
TerminalBogota;juan_sebas_gil;friend;follower;#N/D;angela23032000
NetflixLAT;juan_sebas_gil;friend;follower;#N/D;luz11romero
MetroBogota;juan_sebas_gil;friend;follower;#N/D;aecr1611
PartidoLiberal;juan_sebas_gil;friend;follower;#N/D;leyrodriguez21
German_garciaM;juan_sebas_gil;friend;follower;#N/D;YorladisFlorez
caseysjournal;juan_sebas_gil;friend;follower;#N/D;Neimarlopez_Off
JuanpaLaguna;juan_sebas_gil;friend;follower;#N/D;valentinambj
Matador000;juan_sebas_gil;friend;follower;#N/D;Wilmanp1607
LauraEs92597914;juan_sebas_gil;follower;;;
Analytic897;juan_sebas_gil;follower;;;
sebas_zs;juan_sebas_gil;follower;;;
habib_merheg;juan_sebas_gil;follower;;;
dani3palaciosdj;juan_sebas_gil;follower;;;
Jhonvalentorres;juan_sebas_gil;follower;;;
sexyalice1997;juan_sebas_gil;follower;;;
aniskaryII;juan_sebas_gil;follower;;;
GilQuimbayo;juan_sebas_gil;follower;;;
Carlos_Osorio18;juan_sebas_gil;follower;;;
hailetkissme;juan_sebas_gil;follower;;;
yorladisflorez1;juan_sebas_gil;follower;;;
dayerlis314;juan_sebas_gil;follower;;;
Yenibethescorci;juan_sebas_gil;follower;;;
saharanoemi031;juan_sebas_gil;follower;;;
AldahirToledo2;juan_sebas_gil;follower;;;
ToledoAldahir;juan_sebas_gil;follower;;;
AldahirtT;juan_sebas_gil;follower;;;
MechudoPte;juan_sebas_gil;follower;;;
AndresGil3415;juan_sebas_gil;follower;;;
DaysaSandoval;juan_sebas_gil;follower;;;
nicolevh1947;juan_sebas_gil;follower;;;
AliiDeivis;juan_sebas_gil;follower;;;
nicolevh86;juan_sebas_gil;follower;;;
BustosRodr;juan_sebas_gil;follower;;;
FanNikkibellab;juan_sebas_gil;follower;;;
Mariazmpe;juan_sebas_gil;follower;;;
FreeFollow3Tree;juan_sebas_gil;follower;;;
Free_Follow2Two;juan_sebas_gil;follower;;;
lathmaf;juan_sebas_gil;follower;;;
IsakaryCaro;juan_sebas_gil;follower;;;
ElPapelHabla;juan_sebas_gil;follower;;;
altahona_jesus;juan_sebas_gil;follower;;;
Melaniezubiria1;juan_sebas_gil;follower;;;
DayanisMarcela;juan_sebas_gil;follower;;;
valeriamanja;juan_sebas_gil;follower;;;
andrea_betan_;juan_sebas_gil;follower;;;
AngelineC06;juan_sebas_gil;follower;;;
alice201024;juan_sebas_gil;follower;;;
posada1105;juan_sebas_gil;follower;;;
pos_karina;juan_sebas_gil;follower;;;
angela23032000;juan_sebas_gil;follower;;;
luz11romero;juan_sebas_gil;follower;;;
aecr1611;juan_sebas_gil;follower;;;
leyrodriguez21;juan_sebas_gil;follower;;;
YorladisFlorez;juan_sebas_gil;follower;;;
Neimarlopez_Off;juan_sebas_gil;follower;;;
valentinambj;juan_sebas_gil;follower;;;
Wilmanp1607;juan_sebas_gil;follower;;;
