Source;Target;Kind;Función Follo;Función Frie;Followers
EsDeMamador;Angie87584737;friend;;;
henyerhuriza;Angie87584737;mutual;;;
CamilaL16939880;Angie87584737;mutual;;;
MabelLaraNews;Angie87584737;friend;;;
GustavoBolivar;Angie87584737;friend;;;
juanpisrules;Angie87584737;friend;;;
ElQueLosDELATA;Angie87584737;friend;;;
angelamrobledo;Angie87584737;friend;;;
auronplay;Angie87584737;friend;;;
CathyJuvinao;Angie87584737;friend;;;
DanielSamperO;Angie87584737;friend;;;
charry_manager;Angie87584737;friend;;;
LaPullaOficial;Angie87584737;friend;;;
EonlineLatino;Angie87584737;friend;;;
petrogustavo;Angie87584737;friend;;;
RevistaSemana;Angie87584737;friend;;;
WRadioColombia;Angie87584737;friend;;;
MinSaludCol;Angie87584737;friend;;;
elespectador;Angie87584737;friend;;;
