Source;Target;Kind;Función Follo;Función Frie;Followers
jquirozunriza92;BodeguitaLiber1;friend;follower;#N/D;Nico07063810
andress_holguin;BodeguitaLiber1;mutual;follower;andress_holguin;conny_isaza
SergioForer_o;BodeguitaLiber1;mutual;mutual;SergioForer_o;andress_holguin
NalLibertariosC;BodeguitaLiber1;friend;follower;#N/D;Natalial1801
DanielHurtadoGr;BodeguitaLiber1;friend;follower;#N/D;todo_lo_nuetro
libertario_ed;BodeguitaLiber1;friend;follower;#N/D;elisair_p
miguel_2821;BodeguitaLiber1;mutual;follower;miguel_2821;eyisseth28
Cesarhmondragon;BodeguitaLiber1;mutual;follower;Cesarhmondragon;Andhren
centrolibertad1;BodeguitaLiber1;mutual;follower;centrolibertad1;maysuator
German_valen_CT;BodeguitaLiber1;mutual;follower;German_valen_CT;libroadictojg
ElMamerte;BodeguitaLiber1;mutual;follower;ElMamerte;AyChepe
ismaclop;BodeguitaLiber1;mutual;mutual;ismaclop;SergioForer_o
AlfredoPertuz;BodeguitaLiber1;friend;mutual;#N/D;DonKaicedo
UnLiberalCasual;BodeguitaLiber1;mutual;mutual;UnLiberalCasual;centrolibertad1
cabrales_ospino;BodeguitaLiber1;mutual;follower;cabrales_ospino;alianzalib
davidcancino;BodeguitaLiber1;friend;mutual;#N/D;miguel_2821
cdgilt;BodeguitaLiber1;mutual;follower;cdgilt;CATALAUDA
juanesOrtizG;BodeguitaLiber1;mutual;mutual;juanesOrtizG;Cesarhmondragon
neoliberalit;BodeguitaLiber1;friend;follower;#N/D;SoyElCat
Majobernalgavi1;BodeguitaLiber1;friend;mutual;#N/D;German_valen_CT
ColCapitalista;BodeguitaLiber1;mutual;mutual;ColCapitalista;ElMamerte
libertariocol;BodeguitaLiber1;friend;follower;#N/D;EdwinGu61371910
DanielRaisbeck;BodeguitaLiber1;friend;mutual;#N/D;ismaclop
juliomej49;BodeguitaLiber1;mutual;mutual;juliomej49;UnLiberalCasual
honey_maxi_god;BodeguitaLiber1;friend;mutual;#N/D;juliomej49
DonKaicedo;BodeguitaLiber1;mutual;mutual;DonKaicedo;cdgilt
Lvcastillog;BodeguitaLiber1;friend;mutual;#N/D;juanesOrtizG
uribendito;BodeguitaLiber1;mutual;follower;uribendito;donjuanzeuz
Linamaji;BodeguitaLiber1;friend;mutual;#N/D;ColCapitalista
paul__te;BodeguitaLiber1;friend;mutual;#N/D;LauAA9
LauAA9;BodeguitaLiber1;mutual;mutual;LauAA9;cabrales_ospino
Erika_Suarez17;BodeguitaLiber1;friend;follower;#N/D;Natalia88810806
JoanyGonzalezW;BodeguitaLiber1;mutual;mutual;JoanyGonzalezW;uribendito
grankike_182;BodeguitaLiber1;mutual;mutual;grankike_182;JoanyGonzalezW
edwin4526;BodeguitaLiber1;mutual;mutual;edwin4526;grankike_182
realDonaldTrump;BodeguitaLiber1;friend;mutual;#N/D;edwin4526
melijosemeli;BodeguitaLiber1;friend;follower;#N/D;dcfreak
ghitis;BodeguitaLiber1;friend;mutual;#N/D;NelsonJrRueda
ElQueLosDELATA;BodeguitaLiber1;friend;mutual;#N/D;camilogallardoa
DaniAlejandroM;BodeguitaLiber1;friend;follower;#N/D;jgallardo_sdm
miguelangelx;BodeguitaLiber1;friend;mutual;#N/D;SebastianG_B
NelsonJrRueda;BodeguitaLiber1;mutual;mutual;NelsonJrRueda;JenifferTQ
camilogallardoa;BodeguitaLiber1;mutual;follower;camilogallardoa;pishauko
SebastianG_B;BodeguitaLiber1;mutual;follower;SebastianG_B;DavidCardonaS
JenifferTQ;BodeguitaLiber1;mutual;mutual;JenifferTQ;apostol010
fabioavanegasb;BodeguitaLiber1;mutual;mutual;fabioavanegasb;RamosJaneth1
elbastiocya;BodeguitaLiber1;mutual;mutual;elbastiocya;nelsoncastro010
nelsoncastro010;BodeguitaLiber1;mutual;mutual;nelsoncastro010;elbastiocya
RamosJaneth1;BodeguitaLiber1;mutual;mutual;RamosJaneth1;fabioavanegasb
apostol010;BodeguitaLiber1;mutual;follower;apostol010;BektorMore
Nico07063810;BodeguitaLiber1;follower;;;
conny_isaza;BodeguitaLiber1;follower;;;
Natalial1801;BodeguitaLiber1;follower;;;
todo_lo_nuetro;BodeguitaLiber1;follower;;;
elisair_p;BodeguitaLiber1;follower;;;
eyisseth28;BodeguitaLiber1;follower;;;
Andhren;BodeguitaLiber1;follower;;;
maysuator;BodeguitaLiber1;follower;;;
libroadictojg;BodeguitaLiber1;follower;;;
AyChepe;BodeguitaLiber1;follower;;;
alianzalib;BodeguitaLiber1;follower;;;
CATALAUDA;BodeguitaLiber1;follower;;;
SoyElCat;BodeguitaLiber1;follower;;;
EdwinGu61371910;BodeguitaLiber1;follower;;;
donjuanzeuz;BodeguitaLiber1;follower;;;
Natalia88810806;BodeguitaLiber1;follower;;;
dcfreak;BodeguitaLiber1;follower;;;
jgallardo_sdm;BodeguitaLiber1;follower;;;
pishauko;BodeguitaLiber1;follower;;;
DavidCardonaS;BodeguitaLiber1;follower;;;
BektorMore;BodeguitaLiber1;follower;;;
