Source;Target;Kind;Función Follo;Función Frie;Followers
rodolfoacos;Estrada0222;mutual;mutual;rodolfoacos;rodolfoacos
jbeltrn121;Estrada0222;friend;follower;#N/D;diegottloses
GermanGarmendia;Estrada0222;friend;follower;#N/D;diegottlos
elchamoretamozo;Estrada0222;mutual;follower;elchamoretamozo;PruebaP79747631
kevodelamora;Estrada0222;friend;follower;#N/D;Jose02121475
PerrosGorditos;Estrada0222;friend;mutual;#N/D;Anasofiah_o
Orlandorqm21;Estrada0222;friend;follower;#N/D;trasnochao
Por_queEsTend;Estrada0222;friend;follower;#N/D;AlexBula7
dayana9529;Estrada0222;friend;follower;#N/D;joseluispena01
delavallevale;Estrada0222;friend;mutual;#N/D;elchamoretamozo
FeroCastroR;Estrada0222;friend;follower;#N/D;fizafirkhan
YourAnonNews;Estrada0222;friend;follower;#N/D;BarOrgia
GorditosGatitos;Estrada0222;friend;follower;#N/D;iam_angelaaaaaa
CarlosBaldovin0;Estrada0222;mutual;follower;CarlosBaldovin0;Gabrielaahenao
iFoodCo;Estrada0222;friend;follower;#N/D;PabloVi69899243
TroncoeArepa;Estrada0222;friend;follower;#N/D;joseluismolinas
ElQueLosDELATA;Estrada0222;friend;mutual;#N/D;CarlosBaldovin0
DayannaRojas02;Estrada0222;mutual;follower;DayannaRojas02;Daniel24465827
ValeriaSolano4;Estrada0222;friend;follower;#N/D;cristhine11
timingperfecto;Estrada0222;friend;mutual;#N/D;DayannaRojas02
elsuciodanx;Estrada0222;mutual;follower;elsuciodanx;sebastini98
Dovergara17;Estrada0222;mutual;follower;Dovergara17;Josheeee9
rorellan2;Estrada0222;mutual;mutual;rorellan2;elsuciodanx
Jesus25802274;Estrada0222;mutual;mutual;Jesus25802274;Dovergara17
writrying;Estrada0222;friend;mutual;#N/D;rorellan2
jaimepumarejo;Estrada0222;friend;follower;#N/D;david24_25
DanielaMejaNje1;Estrada0222;mutual;follower;DanielaMejaNje1;ZerchsG
elheraldoco;Estrada0222;friend;mutual;#N/D;Jesus25802274
Estefayepesc;Estrada0222;friend;mutual;#N/D;DanielaMejaNje1
jairandres04;Estrada0222;mutual;follower;jairandres04;xugador13
ojovallenato_;Estrada0222;friend;follower;#N/D;vainarocket
Anasofiah_o;Estrada0222;mutual;mutual;Anasofiah_o;jairandres04
GuilleSwd;Estrada0222;mutual;follower;GuilleSwd;mextapa
Sr_valeverga;Estrada0222;mutual;mutual;Sr_valeverga;GuilleSwd
intensodemierd;Estrada0222;friend;follower;#N/D;LuisRodrguezGo4
EpicosTweets;Estrada0222;friend;follower;#N/D;SvarteRiddaren
Rubiu5;Estrada0222;friend;follower;#N/D;Alejand64088934
KimberlyReyesH;Estrada0222;friend;follower;#N/D;CloeeAlex
LaAhuyamita;Estrada0222;friend;follower;#N/D;diegoromanv93
ennabaquero;Estrada0222;friend;follower;#N/D;Tulonko_kk
gastro_bloggers;Estrada0222;friend;follower;#N/D;Pelao3_1
thequeenjuls;Estrada0222;friend;follower;#N/D;AndresR94856653
gisellec___;Estrada0222;friend;follower;#N/D;armandoac77
capriqornio;Estrada0222;friend;follower;#N/D;cami_dream
MontesNadith;Estrada0222;friend;follower;#N/D;Leonard76903640
triannacamilo;Estrada0222;friend;follower;#N/D;gustavorubiano1
__EduardoMejia;Estrada0222;friend;mutual;#N/D;Sr_valeverga
TheHijueputa;Estrada0222;friend;follower;#N/D;alex_chuluc
infopresidencia;Estrada0222;friend;follower;#N/D;JoseAgu22750646
GabrielaTafur;Estrada0222;friend;follower;#N/D;Alejohumor
diegottloses;Estrada0222;follower;;;
diegottlos;Estrada0222;follower;;;
PruebaP79747631;Estrada0222;follower;;;
Jose02121475;Estrada0222;follower;;;
trasnochao;Estrada0222;follower;;;
AlexBula7;Estrada0222;follower;;;
joseluispena01;Estrada0222;follower;;;
fizafirkhan;Estrada0222;follower;;;
BarOrgia;Estrada0222;follower;;;
iam_angelaaaaaa;Estrada0222;follower;;;
Gabrielaahenao;Estrada0222;follower;;;
PabloVi69899243;Estrada0222;follower;;;
joseluismolinas;Estrada0222;follower;;;
Daniel24465827;Estrada0222;follower;;;
cristhine11;Estrada0222;follower;;;
sebastini98;Estrada0222;follower;;;
Josheeee9;Estrada0222;follower;;;
david24_25;Estrada0222;follower;;;
ZerchsG;Estrada0222;follower;;;
xugador13;Estrada0222;follower;;;
vainarocket;Estrada0222;follower;;;
mextapa;Estrada0222;follower;;;
LuisRodrguezGo4;Estrada0222;follower;;;
SvarteRiddaren;Estrada0222;follower;;;
Alejand64088934;Estrada0222;follower;;;
CloeeAlex;Estrada0222;follower;;;
diegoromanv93;Estrada0222;follower;;;
Tulonko_kk;Estrada0222;follower;;;
Pelao3_1;Estrada0222;follower;;;
AndresR94856653;Estrada0222;follower;;;
armandoac77;Estrada0222;follower;;;
cami_dream;Estrada0222;follower;;;
Leonard76903640;Estrada0222;follower;;;
gustavorubiano1;Estrada0222;follower;;;
alex_chuluc;Estrada0222;follower;;;
JoseAgu22750646;Estrada0222;follower;;;
Alejohumor;Estrada0222;follower;;;
