Source;Target;Kind;Función Follo;Función Frie;Followers
PalomaSenadora;JuanLindarteP;friend;follower;#N/D;IsaacAvalosQui5
oppenheimera;JuanLindarteP;friend;follower;#N/D;JorgeLahoudH
CehernandezEcon;JuanLindarteP;friend;follower;#N/D;CamiloA49605675
MinSaludCol;JuanLindarteP;friend;follower;#N/D;Amparoc66
XimenaCorreaBog;JuanLindarteP;friend;follower;#N/D;mancatigre
ClaudiaLopez;JuanLindarteP;friend;follower;#N/D;360RadioCo
alex_riveiro;JuanLindarteP;friend;follower;#N/D;rafaespana
FalaciasProgres;JuanLindarteP;friend;follower;#N/D;GuillermodeJes9
PabloVictoriaW;JuanLindarteP;friend;follower;#N/D;jcastron2003
MariaCorinaYA;JuanLindarteP;friend;follower;#N/D;CLAUDIAPICOS3
AndresPastrana_;JuanLindarteP;friend;follower;#N/D;dianacalde2210
elmonosanchezof;JuanLindarteP;friend;follower;#N/D;rozocjuan
NickyMarquez1;JuanLindarteP;friend;follower;#N/D;336c656dbc1d490
vanesavallejo3;JuanLindarteP;friend;follower;#N/D;Cerceta3
saludhernandezm;JuanLindarteP;friend;follower;#N/D;Conversemos_FM
ingjairoyanez;JuanLindarteP;friend;follower;#N/D;princes777888
el_archivista;JuanLindarteP;friend;follower;#N/D;AdanTorres32
jamesdrodriguez;JuanLindarteP;friend;follower;#N/D;CamiloAntonioR5
Pontifex_es;JuanLindarteP;friend;follower;#N/D;jmvecinop
ELMASGODO;JuanLindarteP;friend;follower;#N/D;zuleta_gallego
julianbuitragoa;JuanLindarteP;friend;follower;#N/D;Roberto_Trobajo
ghitis;JuanLindarteP;friend;follower;#N/D;catatumbo77
ernestoyamhure;JuanLindarteP;friend;follower;#N/D;Diana_amayap
fbernate;JuanLindarteP;friend;follower;#N/D;Drjairomateus25
CancinoAbog;JuanLindarteP;friend;follower;#N/D;eme969
GustavoRugeles;JuanLindarteP;friend;follower;#N/D;CamiloM34387782
sgcol;JuanLindarteP;friend;follower;#N/D;gvm780320
EnriquePenalosa;JuanLindarteP;friend;follower;#N/D;Laudelinaperez1
Marvilla79;JuanLindarteP;friend;follower;#N/D;Franciscolombia
AgustinLaje;JuanLindarteP;friend;follower;#N/D;JavierG4r
MariaFdaCabal;JuanLindarteP;friend;follower;#N/D;ELREYSALASS
NoticiasRCN;JuanLindarteP;friend;follower;#N/D;pelatina54
CARLOSFMEJIA;JuanLindarteP;friend;follower;#N/D;AngelaHer
DELAESPRIELLAE;JuanLindarteP;friend;follower;#N/D;NatalGarca1
ELTIEMPO;JuanLindarteP;friend;follower;#N/D;HULOVI1
IvanDuque;JuanLindarteP;friend;follower;#N/D;JoseSilvaI1972
AlvaroUribeVel;JuanLindarteP;friend;follower;#N/D;CharlyMaiz
infopresidencia;JuanLindarteP;friend;follower;#N/D;o_agudelo75
IsaacAvalosQui5;JuanLindarteP;follower;follower;;SHARKYING10
JorgeLahoudH;JuanLindarteP;follower;follower;;FlorezJucca6920
CamiloA49605675;JuanLindarteP;follower;follower;;CosoPolitico
Amparoc66;JuanLindarteP;follower;follower;;Panfila65929660
mancatigre;JuanLindarteP;follower;follower;;pe_cacas
360RadioCo;JuanLindarteP;follower;follower;;claudiavmalagon
rafaespana;JuanLindarteP;follower;follower;;masevv
GuillermodeJes9;JuanLindarteP;follower;follower;;LEONELVALEROESC
jcastron2003;JuanLindarteP;follower;follower;;juanfelipemc25
CLAUDIAPICOS3;JuanLindarteP;follower;follower;;jhos13
dianacalde2210;JuanLindarteP;follower;follower;;ezyoyo
rozocjuan;JuanLindarteP;follower;follower;;rogersortizh
336c656dbc1d490;JuanLindarteP;follower;;;
Cerceta3;JuanLindarteP;follower;;;
Conversemos_FM;JuanLindarteP;follower;;;
princes777888;JuanLindarteP;follower;;;
AdanTorres32;JuanLindarteP;follower;;;
CamiloAntonioR5;JuanLindarteP;follower;;;
jmvecinop;JuanLindarteP;follower;;;
zuleta_gallego;JuanLindarteP;follower;;;
Roberto_Trobajo;JuanLindarteP;follower;;;
catatumbo77;JuanLindarteP;follower;;;
Diana_amayap;JuanLindarteP;follower;;;
Drjairomateus25;JuanLindarteP;follower;;;
eme969;JuanLindarteP;follower;;;
CamiloM34387782;JuanLindarteP;follower;;;
gvm780320;JuanLindarteP;follower;;;
Laudelinaperez1;JuanLindarteP;follower;;;
Franciscolombia;JuanLindarteP;follower;;;
JavierG4r;JuanLindarteP;follower;;;
ELREYSALASS;JuanLindarteP;follower;;;
pelatina54;JuanLindarteP;follower;;;
AngelaHer;JuanLindarteP;follower;;;
NatalGarca1;JuanLindarteP;follower;;;
HULOVI1;JuanLindarteP;follower;;;
JoseSilvaI1972;JuanLindarteP;follower;;;
CharlyMaiz;JuanLindarteP;follower;;;
o_agudelo75;JuanLindarteP;follower;;;
SHARKYING10;JuanLindarteP;follower;;;
FlorezJucca6920;JuanLindarteP;follower;;;
CosoPolitico;JuanLindarteP;follower;;;
Panfila65929660;JuanLindarteP;follower;;;
pe_cacas;JuanLindarteP;follower;;;
claudiavmalagon;JuanLindarteP;follower;;;
masevv;JuanLindarteP;follower;;;
LEONELVALEROESC;JuanLindarteP;follower;;;
juanfelipemc25;JuanLindarteP;follower;;;
jhos13;JuanLindarteP;follower;;;
ezyoyo;JuanLindarteP;follower;;;
rogersortizh;JuanLindarteP;follower;;;
