Source	Target	Kind	f.follower		followers
serchitekt	MiguelCab1989	mutual	mutual	serchitekt	serchitekt
rrasputin2	MiguelCab1989	mutual	mutual	rrasputin2	rrasputin2
feduardogc1	MiguelCab1989	mutual	follower	feduardogc1	Abogado_JorgeEH
JenniferPedraz	MiguelCab1989	friend	mutual	0	edumon72
MiguelUribeT	MiguelCab1989	friend	mutual	0	feduardogc1
daulaw	MiguelCab1989	friend	follower	0	Mangiphknmtt
Asiytodoq	MiguelCab1989	friend	follower	0	yaqub_sena
laabundancia171	MiguelCab1989	friend	mutual	0	jnavarro0812
yesith53736319	MiguelCab1989	friend	mutual	0	german_alvarino
josedavidrodri4	MiguelCab1989	friend	follower	0	AlbeiroWpg1965
elonmusk	MiguelCab1989	friend	follower	0	Lanavaheap
Margaritarosadf	MiguelCab1989	friend	follower	0	Yadibarrera
gloqui20	MiguelCab1989	friend	follower	0	JuanPabloCalvas
Melquisedec70	MiguelCab1989	friend	follower	0	bethox27
cardenasjorgee	MiguelCab1989	friend	follower	0	oscarac23777477
LaCosta_Vice	MiguelCab1989	friend	follower	0	LALA0829
jaimebaylys	MiguelCab1989	friend	follower	0	Dead_Heart95
Ievyrincon	MiguelCab1989	friend	follower	0	kira_wes
edumon72	MiguelCab1989	mutual	follower	edumon72	lisha52019
cristalia6	MiguelCab1989	friend	follower	0	VickyDavilaH
ireritasrz	MiguelCab1989	friend	follower	0	fernatorresp
_El__Patriota_	MiguelCab1989	friend	follower	0	RepublicaNow
clacarras1966	MiguelCab1989	friend	follower	0	LEPUYANA
Giovyromero	MiguelCab1989	friend	follower	0	Ofertas__Online
WRadioColombia	MiguelCab1989	friend	follower	0	mariolopez1959
tomellis17	MiguelCab1989	friend	follower	0	SoyElMillonario
LosDanielesOp	MiguelCab1989	friend	follower	0	Paty09029407
donadolforivas	MiguelCab1989	friend	follower	0	Angelicaconamor
Maryaristizabal	MiguelCab1989	friend	follower	0	Adriana94393600
ICETEX	MiguelCab1989	friend	follower	0	AJ0TA
Fruizgomez	MiguelCab1989	friend	follower	0	Catarodj
elmonosanchezof	MiguelCab1989	friend	follower	0	dasesqui
DanielRuge	MiguelCab1989	friend	follower	0	fincasmelgar
cindybaenah	MiguelCab1989	friend	follower	0	Roberto61753629
SoyAndresParra	MiguelCab1989	friend	follower	0	koelner_haie
CamiloPrietoVal	MiguelCab1989	friend	follower	0	ExtraNoticiasCo
isabelhenao	MiguelCab1989	friend	follower	0	XiniaNavarro
jnavarro0812	MiguelCab1989	mutual	follower	jnavarro0812	LideraCambio
rabodeajip	MiguelCab1989	friend	follower	0	americo_cordoba
evelyndeibem	MiguelCab1989	friend	follower	0	juanduquega
BillGates	MiguelCab1989	friend	follower	0	enrovasquez
koalalala	MiguelCab1989	friend	follower	0	harol_donoso
german_alvarino	MiguelCab1989	mutual	follower	german_alvarino	Cespial
INSColombia	MiguelCab1989	friend	follower	0	platino89
JoMalagon	MiguelCab1989	friend	follower	0	alvarogonzalezu
FndoSolorzano	MiguelCab1989	friend	follower	0	CarlosGFino1
LuisErnestoGL	MiguelCab1989	friend	follower	0	JoanyGonzalezW
andreaydavidm	MiguelCab1989	friend	follower	0	JeyCorrales
jebedoya	MiguelCab1989	friend	follower	0	
josephzhou	MiguelCab1989	friend	follower	0	
