Source	Target	Kind	f.follower		followers
jorgeandresbell	OENEGERO	friend	mutual	0	tigresinuano
paolagueraxy	OENEGERO	friend	mutual	0	Industriasgt
LexArpol	OENEGERO	mutual	mutual	LexArpol	Tomas55750906
itmadelinee	OENEGERO	friend	mutual	0	ArnobiCja
LETALJUSTO1	OENEGERO	mutual	mutual	LETALJUSTO1	IRONICOREALIST
AcGoddeliett	OENEGERO	friend	follower	0	ElenaVlez
parracarlosA	OENEGERO	mutual	mutual	parracarlosA	RicardoA07
_Littlebabe__	OENEGERO	friend	mutual	0	Andrea_monri
Kazapropia0605	OENEGERO	mutual	mutual	Kazapropia0605	parracarlosA
lolabunny2205	OENEGERO	friend	mutual	0	Mara_mia2
soyashleyjaja	OENEGERO	friend	mutual	0	AlicerMartinez
896b1b734de7467	OENEGERO	mutual	mutual	896b1b734de7467	aze_jorge
IJJUANBARRIOS	OENEGERO	friend	follower	0	aduque58
Andrea_monri	OENEGERO	mutual	mutual	Andrea_monri	Parchman100
elarules	OENEGERO	friend	mutual	0	Donkarma8
JUANJOS91915649	OENEGERO	friend	mutual	0	frelo60
HULOVI1	OENEGERO	friend	mutual	0	896b1b734de7467
yealexandra2	OENEGERO	mutual	mutual	yealexandra2	orlandopitaga
ACA63050490	OENEGERO	friend	mutual	0	cbetancurvargas
RicardoA07	OENEGERO	mutual	mutual	RicardoA07	LexArpol
ArnobiCja	OENEGERO	mutual	mutual	ArnobiCja	LETALJUSTO1
aze_jorge	OENEGERO	mutual	mutual	aze_jorge	Kazapropia0605
Donkarma8	OENEGERO	mutual	follower	Donkarma8	EdwinMartin2678
DaniloRojazz	OENEGERO	friend	mutual	0	edg_camacho
Parchman100	OENEGERO	mutual	mutual	Parchman100	yealexandra2
Migueln80563457	OENEGERO	friend	mutual	0	BSulfatado
NestorAJaramil6	OENEGERO	friend	mutual	0	AntonellaCurad3
DianaMu42099289	OENEGERO	friend	mutual	0	arango_mauricio
Uribista5	OENEGERO	friend	follower	0	andresmelocou
ynataliahb	OENEGERO	friend	follower	0	Sarac_ardenas
frelo60	OENEGERO	mutual	follower	frelo60	FURIBERFURIBUND
vimaar10	OENEGERO	friend	follower	0	betoariza1017
Eduardo37525582	OENEGERO	friend	follower	0	PActiva
IRONICOREALIST	OENEGERO	mutual	follower	IRONICOREALIST	diegoactor8999
juda069	OENEGERO	friend	follower	0	ivanrubinus
Tomas55750906	OENEGERO	mutual	follower	Tomas55750906	cataangelita2
JeanCar21371098	OENEGERO	friend	follower	0	MaraPaterninaA1
edg_camacho	OENEGERO	mutual	follower	edg_camacho	juancadelgado
DDiujarlo	OENEGERO	friend	follower	0	UribistaQuilla
orlandopitaga	OENEGERO	mutual	follower	orlandopitaga	lielha_l
Mightdavid	OENEGERO	friend	follower	0	DiegoVahos4
AntonellaCurad3	OENEGERO	mutual	follower	AntonellaCurad3	suarezcarlos01
Mara_mia2	OENEGERO	mutual	follower	Mara_mia2	eduardo1226131
BSulfatado	OENEGERO	mutual	follower	BSulfatado	germanayalaosor
cbetancurvargas	OENEGERO	mutual	follower	cbetancurvargas	yuddaire
tigresinuano	OENEGERO	mutual	follower	tigresinuano	jojasa2003gmai1
arango_mauricio	OENEGERO	mutual	follower	arango_mauricio	cayitagar
AlicerMartinez	OENEGERO	mutual	follower	AlicerMartinez	thserrano
janethgomez139	OENEGERO	friend	follower	0	camajunalu65
Industriasgt	OENEGERO	mutual	follower	Industriasgt	prudenciosimij1
