;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;18:25;;;;;;;;;;;;;;;
;>>> Analyzed user:;OscarHsb;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
1;1,26E+32;A m m a r;Ammar53280417;Lo que más odio; son las disculpas.;http://pbs.twimg.com/profile_images/1263536116239605760/-FMy9Hlr_normal.jpg;;21/05/2020 18:22;;;False;1053;967;24;0;10;False
2;1,25E+32;Policarpa;lapoladigna;Laquelosexpone. Abogada, E. Derecho Público, Defensora de D.H. Antiuribista, Amo la Política y Me duele mi País 🇨🇴#sigamonoslosbuenos;http://pbs.twimg.com/profile_images/1265468818492551169/qy8xRRRo_normal.jpg;;16/04/2020 20:47;;;False;1843;3996;7267;0;5232;False;
3;1,27E+32;Marie Curie Legión;CurieAnti;Es un deber moral ridiculizar #FEMINAZIS;http://pbs.twimg.com/profile_images/1278763916751974400/M4nrxiPP_normal.jpg;;11/06/2020 21:45;;;False;286;974;772;0;521;False;
4;338385868;💫Marce ❌;_marce84_;CON LOS PIES EN LA TIERRA Y LA MIRADA AL CIELO!! Que la vida les multiplique todo lo que me desean. Ex mamerta!! Por la derecha es más bonito ❤️ Anti feminista!;http://pbs.twimg.com/profile_images/1270109131828011008/7g1woe6K_normal.jpg;http://abs.twimg.com/images/themes/theme10/bg.gif;19/07/2011 14:15;Colombia;;True;20161;4404;57620;23;80407;False;
5;1,17E+32;decanon;MosadDCG;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;30/08/2019 17:18;;;False;32;116;1177;0;1712;False;
6;285447939;megavas;real_megavas;Para evitar malos entendidos, asi naci en twitter, pero ahora soy @megavas, como en toda la web;http://pbs.twimg.com/profile_images/1325067540/twitter_032011_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;21/04/2011 5:06;;;False;90;128;663;0;153;False;
7;1,04E+32;memes anti-mamertos;iLordPorky;Extrema derecha, capitalismo salvaje y nacionalismo 🇨🇴;http://pbs.twimg.com/profile_images/1201189658379653121/5x0-JTlT_normal.jpg;;16/09/2018 16:28;Bogotá, D.C. 💛❤;;False;955;234;5100;0;34263;False;
8;75949917;orlyjes;orlyjes;;http://pbs.twimg.com/profile_images/990905141132955648/PCj9Xond_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;21/09/2009 3:39;bogota;;True;911;1734;41940;0;52506;False;
9;321365846;ADAN RC;ADANRIVERAC;anticomunista, antimamertos. librepensador, dueño y defensor de mis ideas;;;;;;;;;;;;;
10;2557986486;NANA;Martha_Marqui;Solo intento ser correcta y concreta.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Ayudemos a los que podamos; que nadie se duerma con hambre🙏🤝 Solidaridad!.;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;
"Le recomiendo no busque que es.""";http://pbs.twimg.com/profile_images/1180658974405939200/r67ZZelg_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;10/06/2014 2:30;;;True;1339;278;25088;0;111975;False;;;;;
11;61243172;Diana Muñoz C;DianaMunozC;Abogada Penalista. Universidad de Cartagena. Mamá, profesora y litigante (en ese orden).;http://pbs.twimg.com/profile_images/1259699127899901952/waOqrwBz_normal.jpg;http://abs.twimg.com/images/themes/theme11/bg.gif;29/07/2009 17:08;;;True;42681;3298;34784;147;84543;False;
12;420345478;Ruben Vieda;RubenDarioVieda;Padre de familia. Bogotano, Buen Ciudadano, Santafereño desde siempre.;http://pbs.twimg.com/profile_images/1061736917446868992/ZH6YtDBd_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;24/11/2011 14:11;;;True;2578;4418;14752;3;31963;False;
13;1,25E+32;Marly I Arnedo Perez;i_arnedo;oir musica;http://pbs.twimg.com/profile_images/1254786635650064386/sTUuRnbz_normal.jpg;;27/04/2020 14:55;;;False;142;1154;1;0;5;False;
14;3384779295;ju@pv;juliomonpox;hoy más que nunca vamos abrazar a nuestro presidente Iván duque dios le de sabiduría y enteligencia para guiar nuestro país Colombia;http://pbs.twimg.com/profile_images/1254508207055294465/8QQZVbL4_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;20/07/2015 19:02;Medellín, Colombia;;False;787;4677;943;0;25;False;
15;9,01E+31;Natalí García;NatalGarca1;Creo que el derecho a la vida del ser humano merece ser respetado desde la concepción. Creo en la paz con legalidad. Apoyo 100% FFMM. Soy 100% Capitalista.;http://pbs.twimg.com/profile_images/1218536471113715712/PWfgW5od_normal.jpg;;25/08/2017 2:58;Bogotá, D.C., Colombia;;False;1216;1711;4058;1;6781;False;
