Source;Target;Kind;Función Follo;Función Frie;Followers
_marce84_;OscarHsb;mutual;follower;_marce84_;Ammar53280417
Martha_Marqui;OscarHsb;mutual;follower;Martha_Marqui;lapoladigna
MundialDelHumo_;OscarHsb;friend;follower;#N/D;CurieAnti
NatalGarca1;OscarHsb;mutual;mutual;NatalGarca1;_marce84_
HistoriaFotBog;OscarHsb;friend;follower;#N/D;MosadDCG
santiagoecheve;OscarHsb;friend;follower;#N/D;real_megavas
NGoyenecheV;OscarHsb;friend;follower;#N/D;iLordPorky
Ievyrincon;OscarHsb;friend;follower;#N/D;orlyjes
jmbestene;OscarHsb;friend;follower;#N/D;ADANRIVERAC
1kManerasdeCaga;OscarHsb;friend;mutual;#N/D;Martha_Marqui
infanteslocos;OscarHsb;friend;follower;#N/D;DianaMunozC
muerenpordentro;OscarHsb;friend;follower;#N/D;RubenDarioVieda
JFernandeznino;OscarHsb;friend;follower;#N/D;i_arnedo
pedrortiz123;OscarHsb;friend;follower;#N/D;juliomonpox
theydeadlnside;OscarHsb;friend;mutual;#N/D;NatalGarca1
pachoazuero;OscarHsb;friend;follower;#N/D;gaudigavr
Mr__Pack;OscarHsb;friend;follower;#N/D;Abraham78186596
danielpacheco;OscarHsb;friend;follower;#N/D;JuanE_Quintero
davidbarguil;OscarHsb;friend;mutual;#N/D;Zabanero1
DanielaHuertasB;OscarHsb;friend;follower;#N/D;oscarac23777477
linamcardonag;OscarHsb;friend;follower;#N/D;andreagossain
Zabanero1;OscarHsb;mutual;follower;Zabanero1;MovistarCo
CarlosACortesM;OscarHsb;friend;follower;#N/D;Germansva
CienciaDelCope;OscarHsb;friend;follower;#N/D;ElViejoZorro81
carlosruizma;OscarHsb;friend;follower;#N/D;EDGARPAPAMIJA
NetflixLAT;OscarHsb;friend;follower;#N/D;luciabastidasu
RepublicaNow;OscarHsb;friend;follower;#N/D;PeticionC
Chompos_Col;OscarHsb;friend;follower;#N/D;luzcary0226
Findeter;OscarHsb;friend;follower;#N/D;Krol9911
PoIiacriIamideo;OscarHsb;friend;follower;#N/D;bettycriticonaa
DalasReview;OscarHsb;friend;follower;#N/D;ederaldis83
Soyunbottfake;OscarHsb;friend;follower;#N/D;DOcampo76
violettasoyyo;OscarHsb;friend;follower;#N/D;AndreaRamirezA_
Fabianmendoza;OscarHsb;friend;follower;#N/D;dcfreak
SuavesBombones;OscarHsb;friend;follower;#N/D;PortalNeih
linasinisterra;OscarHsb;friend;follower;#N/D;Afbrico
elcuchoanticom;OscarHsb;friend;follower;#N/D;betoariza1017
dgomezco;OscarHsb;friend;follower;#N/D;pauperonovega
andresportillo_;OscarHsb;friend;follower;#N/D;Elrepublicano9
Soy_Tuitero;OscarHsb;friend;follower;#N/D;RoloVaquero
FernandaSG1;OscarHsb;friend;follower;#N/D;carlopoc7
Diana_Pala;OscarHsb;friend;follower;#N/D;GTascon10
SebastianNohra;OscarHsb;friend;follower;#N/D;CLABASCAM
JuanoMej93;OscarHsb;friend;follower;#N/D;luismorales0621
Lindas_Amateur_;OscarHsb;friend;follower;#N/D;CentroCorriente
eramiren1986;OscarHsb;friend;follower;#N/D;DeZurdos
ElPutoCrack_;OscarHsb;friend;follower;#N/D;JuanPCamachoS
DanielMejiaL;OscarHsb;friend;follower;#N/D;cfo1960
TerryHurtado;OscarHsb;friend;follower;#N/D;Kataodagaz
littleone2005;OscarHsb;friend;follower;#N/D;iguanaconcoco
Ammar53280417;OscarHsb;follower;;;
lapoladigna;OscarHsb;follower;;;
CurieAnti;OscarHsb;follower;;;
MosadDCG;OscarHsb;follower;;;
real_megavas;OscarHsb;follower;;;
iLordPorky;OscarHsb;follower;;;
orlyjes;OscarHsb;follower;;;
ADANRIVERAC;OscarHsb;follower;;;
DianaMunozC;OscarHsb;follower;;;
RubenDarioVieda;OscarHsb;follower;;;
i_arnedo;OscarHsb;follower;;;
juliomonpox;OscarHsb;follower;;;
gaudigavr;OscarHsb;follower;;;
Abraham78186596;OscarHsb;follower;;;
JuanE_Quintero;OscarHsb;follower;;;
oscarac23777477;OscarHsb;follower;;;
andreagossain;OscarHsb;follower;;;
MovistarCo;OscarHsb;follower;;;
Germansva;OscarHsb;follower;;;
ElViejoZorro81;OscarHsb;follower;;;
EDGARPAPAMIJA;OscarHsb;follower;;;
luciabastidasu;OscarHsb;follower;;;
PeticionC;OscarHsb;follower;;;
luzcary0226;OscarHsb;follower;;;
Krol9911;OscarHsb;follower;;;
bettycriticonaa;OscarHsb;follower;;;
ederaldis83;OscarHsb;follower;;;
DOcampo76;OscarHsb;follower;;;
AndreaRamirezA_;OscarHsb;follower;;;
dcfreak;OscarHsb;follower;;;
PortalNeih;OscarHsb;follower;;;
Afbrico;OscarHsb;follower;;;
betoariza1017;OscarHsb;follower;;;
pauperonovega;OscarHsb;follower;;;
Elrepublicano9;OscarHsb;follower;;;
RoloVaquero;OscarHsb;follower;;;
carlopoc7;OscarHsb;follower;;;
GTascon10;OscarHsb;follower;;;
CLABASCAM;OscarHsb;follower;;;
luismorales0621;OscarHsb;follower;;;
CentroCorriente;OscarHsb;follower;;;
DeZurdos;OscarHsb;follower;;;
JuanPCamachoS;OscarHsb;follower;;;
cfo1960;OscarHsb;follower;;;
Kataodagaz;OscarHsb;follower;;;
iguanaconcoco;OscarHsb;follower;;;
