Source;Target;Kind;Función Follo;Función Frie;Followers
OOCToxicos;OscarPavi;friend;mutual;#N/D;FelicidadVille9
ZurbriggenMila;OscarPavi;friend;mutual;#N/D;EdwinGomezRolon
FelicidadVille9;OscarPavi;mutual;mutual;FelicidadVille9;OscarOrtizE2
EdwinGomezRolon;OscarPavi;mutual;mutual;EdwinGomezRolon;Nelsy935
JulianaVallej;OscarPavi;friend;follower;#N/D;cuentocolectivo
diegocabot;OscarPavi;friend;mutual;#N/D;jorgehrod
claudiosavoia;OscarPavi;friend;mutual;#N/D;Cr7Jurios
MonicaMrestrem;OscarPavi;friend;follower;#N/D;JohinerMendoza
OscarOrtizE2;OscarPavi;mutual;mutual;OscarOrtizE2;Alejandro_LiAr
Nelsy935;OscarPavi;mutual;follower;Nelsy935;CamiloA49605675
MarGomezH;OscarPavi;friend;mutual;#N/D;aleurop1590
SEstrambotico;OscarPavi;friend;mutual;#N/D;YeyGiSan
jorgehrod;OscarPavi;mutual;follower;jorgehrod;reformista_lib
Cr7Jurios;OscarPavi;mutual;mutual;Cr7Jurios;wopsaenz
Colmenaresymas;OscarPavi;friend;mutual;#N/D;Mariana38311921
kudai;OscarPavi;friend;mutual;#N/D;_marce84_
CoronelHMejia;OscarPavi;friend;mutual;#N/D;CristBoh
Vercingetory;OscarPavi;friend;follower;#N/D;TecnicaPrivada
universoviral;OscarPavi;friend;follower;#N/D;svalerod
Tinojaramillo;OscarPavi;friend;follower;#N/D;duquevan
Alejandro_LiAr;OscarPavi;mutual;follower;Alejandro_LiAr;SdrodriguezT
dimitrov_sofia;OscarPavi;friend;follower;#N/D;Julieth_Gomita
Fruizgomez;OscarPavi;friend;follower;#N/D;_FrancoMunevarM
nubiaehijos;OscarPavi;friend;follower;#N/D;AFFICForense
Sarital17;OscarPavi;friend;follower;#N/D;senoritaley
aleurop1590;OscarPavi;mutual;follower;aleurop1590;CasasEdgaral
JaimeAminH;OscarPavi;friend;follower;#N/D;cardenaslina
carlaangola;OscarPavi;friend;follower;#N/D;lovelivesuccess
RedPaPaz;OscarPavi;friend;follower;#N/D;PedroMachucaRi2
YeyGiSan;OscarPavi;mutual;follower;YeyGiSan;neosaldiana
wopsaenz;OscarPavi;mutual;follower;wopsaenz;JuanSNaranjo_
Mapu_Ospina;OscarPavi;friend;follower;#N/D;WilliamMejiapi4
Mariana38311921;OscarPavi;mutual;follower;Mariana38311921;DianaAg23402124
UniverCuriousi;OscarPavi;friend;follower;#N/D;Anony37026950
PreciosSubida;OscarPavi;friend;follower;#N/D;oscarsanpedroza
Arturo_Calle;OscarPavi;friend;follower;#N/D;vahiaa
_marce84_;OscarPavi;mutual;follower;_marce84_;Rinrin1909
AndresLopezALA2;OscarPavi;friend;follower;#N/D;amcharria
CristBoh;OscarPavi;mutual;follower;CristBoh;yuliana29774271
AdrianaAcevedoZ;OscarPavi;friend;follower;#N/D;LiyiMunoz
AndreAwads;OscarPavi;friend;follower;#N/D;laracarlos99
_Barretico;OscarPavi;friend;follower;#N/D;mauro_chq
PeleasVirales;OscarPavi;friend;follower;#N/D;CristinaVillaP
animalabis;OscarPavi;friend;follower;#N/D;rpinzon12
catasvallejo;OscarPavi;friend;follower;#N/D;jpalacioposada
iMsMeeseeks;OscarPavi;friend;follower;#N/D;Javierd28544680
tuliorecomienda;OscarPavi;friend;follower;#N/D;ArangoFeiber
Lucyb_eth;OscarPavi;friend;follower;#N/D;HctorMoncada6
Lexsinger;OscarPavi;friend;follower;#N/D;LuisGal86495937
tobonsanin;OscarPavi;friend;follower;#N/D;ACED75714099
cuentocolectivo;OscarPavi;follower;;;
JohinerMendoza;OscarPavi;follower;;;
CamiloA49605675;OscarPavi;follower;;;
reformista_lib;OscarPavi;follower;;;
TecnicaPrivada;OscarPavi;follower;;;
svalerod;OscarPavi;follower;;;
duquevan;OscarPavi;follower;;;
SdrodriguezT;OscarPavi;follower;;;
Julieth_Gomita;OscarPavi;follower;;;
_FrancoMunevarM;OscarPavi;follower;;;
AFFICForense;OscarPavi;follower;;;
senoritaley;OscarPavi;follower;;;
CasasEdgaral;OscarPavi;follower;;;
cardenaslina;OscarPavi;follower;;;
lovelivesuccess;OscarPavi;follower;;;
PedroMachucaRi2;OscarPavi;follower;;;
neosaldiana;OscarPavi;follower;;;
JuanSNaranjo_;OscarPavi;follower;;;
WilliamMejiapi4;OscarPavi;follower;;;
DianaAg23402124;OscarPavi;follower;;;
Anony37026950;OscarPavi;follower;;;
oscarsanpedroza;OscarPavi;follower;;;
vahiaa;OscarPavi;follower;;;
Rinrin1909;OscarPavi;follower;;;
amcharria;OscarPavi;follower;;;
yuliana29774271;OscarPavi;follower;;;
LiyiMunoz;OscarPavi;follower;;;
laracarlos99;OscarPavi;follower;;;
mauro_chq;OscarPavi;follower;;;
CristinaVillaP;OscarPavi;follower;;;
rpinzon12;OscarPavi;follower;;;
jpalacioposada;OscarPavi;follower;;;
Javierd28544680;OscarPavi;follower;;;
ArangoFeiber;OscarPavi;follower;;;
HctorMoncada6;OscarPavi;follower;;;
LuisGal86495937;OscarPavi;follower;;;
ACED75714099;OscarPavi;follower;;;
