;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;2:52;;;;;;;;;;;;;;;
;>>> Analyzed user:;Oscar_GCh;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
1;7,87E+31;Andrés;ReinoldesGir;Reflexivo y forjador de una mejor Colombia.;http://pbs.twimg.com/profile_images/1234000073970810881/el1JaLIL_normal.jpg;;15/10/2016 13:53;;;False;494;703;292;0;468;False;
2;1,10E+32;Jami;Jamirsanchez7;#AntiUribistaSigueAntiUribista ;;;;;;;;;;;;;
"#MatarifeLaSerie""";http://pbs.twimg.com/profile_images/1275925740547162112/xRiAm1B6_normal.jpg;;12/02/2019 2:44;;;False;106;1073;2512;1;10434;False;;;;;
3;1,19E+32;lualforu;lualforu;UN HUMILDE EXVENDEDOR DE MINUTOS.;;;;;;;;;;;;;
LAS BALAS ESCRIBIERON NUESTRO PASADO;;;;;;;;;;;;;;;;;
LA EDUCACIÓN ESCRIBIRÁ NUESTRO FUTURO;;;;;;;;;;;;;;;;;
NO A LA GUERRA;;;;;;;;;;;;;;;;;
"SI A LA PAZ.""";http://pbs.twimg.com/profile_images/1264058369091960842/FwqIolqb_normal.jpg;;30/10/2019 6:23;BUCARAMANGA;;False;750;1423;2682;0;4985;False;;;;;
4;1,28E+32;Charly;Charly08640984;Tecnólogo en logística armamentista y empresarial. Métodos innovadores de organización y eficacia.;http://pbs.twimg.com/profile_images/1279793029772181507/iEwDDLmA_normal.jpg;;03/07/2020 2:21;;;False;33;133;50;0;95;False;
5;1,26E+31;Porcelanea;Nirvana92584482;;http://pbs.twimg.com/profile_images/1264546891859136514/TvX3b9ei_normal.jpg;;24/05/2020 13:20;;;False;7;16;83;0;373;False;
6;86423682;Aquiminzak Bacata;periclesvolador;SOLO  LOS  QUE  INTENTAMOS LO ABSURDO PODEMOS  LOGRAR  LO  IMPOSIBLE;http://pbs.twimg.com/profile_images/1244656793130881026/_fhrUNxw_normal.jpg;http://abs.twimg.com/images/themes/theme5/bg.gif;30/10/2009 23:52;colombia;;False;224;1208;3808;0;12559;False;
7;1,27E+32;El Fisgon;ElFisgo27378862;El pueblo unido jamás será vencido...;;;;;;;;;;;;;
"#AntiUribista""";http://pbs.twimg.com/profile_images/1274387803028238336/cJ7wh7LC_normal.jpg;;20/06/2020 17:04;;;False;26;180;38;0;67;False;;;;;
8;1,28E+32;EstebanVargas;_EstebanConE;Cine-Libros-Arte Y VinoTinto Porfavor;http://pbs.twimg.com/profile_images/1276346060168978433/cGrNqIzL_normal.jpg;;26/06/2020 2:38;;;False;291;484;375;0;1310;False;
9;252099420;Julia María García G;JuliMarGar;Mujer y madre, contadora, feminista, animalista, vegetariana y amante de la paz.;;;;;;;;;;;;;
#MovilizaciónContraUribe;;;;;;;;;;;;;;;;;
"#SoyDeLaRESISTENCIA""";http://pbs.twimg.com/profile_images/1276966149297750016/IDdsXw7O_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;14/02/2011 13:56;Colombia;;False;2439;2503;84967;0;194369;False;;;;;
10;1,28E+32;José Jurado Osorio;osorio_jurado;;http://pbs.twimg.com/profile_images/1278834657577107458/7XYmD1yN_normal.jpg;;02/07/2020 23:34;;;False;10;247;2;0;11;False;
11;867355879;Leovalen.;LeonorMerval59;Quien NO vive para servir, no sirve para vivir. 🐝 #SigamonosLosBuenos. #AntiuribistaSigueAntiuribistas.;http://pbs.twimg.com/profile_images/1232486259718836224/y_xr02JL_normal.jpg;http://abs.twimg.com/images/themes/theme4/bg.gif;08/10/2012 3:24;Colombia;;True;1108;2066;30687;6;84686;False;
12;1,16E+32;Alexander Diaz Diaz;alexdiazcauca;Seguimos en nuestra lucha en contra de la corrupción;http://pbs.twimg.com/profile_images/1280326192344727554/UvlJbpjU_normal.jpg;;10/08/2019 17:59;Popayán, Colombia;;True;203;441;144;1;22;False;
13;1,23E+32;Colombia Humana Medellín;humana_medellin;;http://pbs.twimg.com/profile_images/1234567686929158144/TOZFwhLT_normal.jpg;;26/02/2020 23:20;;;False;861;948;253;0;344;False;
14;1,27E+32;Principito85;Principito851;Hijo de Dios;http://pbs.twimg.com/profile_images/1269728477168754690/6K4GaE79_normal.jpg;;05/06/2020 0:42;;;False;963;1061;630;0;839;False;
15;1061601;Esteban Restrepo;thisgoblin;;http://pbs.twimg.com/profile_images/1281044039828213760/IiZMo_Tl_normal.jpg;http://abs.twimg.com/images/themes/theme9/bg.gif;13/03/2007 2:01;Colombia;;False;532;1668;3454;11;9477;False;
16;9,82E+31;Sebastian Cardozo;Joan_che98;#AntiUribista ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
