Source;Target;Kind;Función Follo;Función Frie;Followers
betobarreto;Oscar_GCh;friend;follower;#N/D;ReinoldesGir
periclesvolador;Oscar_GCh;mutual;follower;periclesvolador;Jamirsanchez7
paosalazarss;Oscar_GCh;friend;follower;#N/D;lualforu
PlanetaLibrosCo;Oscar_GCh;friend;follower;#N/D;Charly08640984
LuchaDeVoces;Oscar_GCh;friend;follower;#N/D;Nirvana92584482
_EstebanConE;Oscar_GCh;mutual;mutual;_EstebanConE;periclesvolador
renacientes;Oscar_GCh;friend;follower;#N/D;ElFisgo27378862
JuliMarGar;Oscar_GCh;mutual;mutual;JuliMarGar;_EstebanConE
LeonorMerval59;Oscar_GCh;mutual;mutual;LeonorMerval59;JuliMarGar
humana_medellin;Oscar_GCh;mutual;follower;humana_medellin;osorio_jurado
Principito851;Oscar_GCh;mutual;mutual;Principito851;LeonorMerval59
Homlogo1;Oscar_GCh;mutual;follower;Homlogo1;alexdiazcauca
paipa_r;Oscar_GCh;mutual;mutual;paipa_r;humana_medellin
bayron_16;Oscar_GCh;mutual;mutual;bayron_16;Principito851
mcvm100;Oscar_GCh;mutual;follower;mcvm100;thisgoblin
mi_musical;Oscar_GCh;mutual;follower;mi_musical;Joan_che98
JacobitoPoveda;Oscar_GCh;mutual;follower;JacobitoPoveda;Mauro69maximo
Maitojimenez;Oscar_GCh;friend;mutual;#N/D;HelenaNupieri
Maaurice_7;Oscar_GCh;mutual;mutual;Maaurice_7;edwinzagi
hejito1976;Oscar_GCh;mutual;mutual;hejito1976;Homlogo1
D___________C;Oscar_GCh;mutual;mutual;D___________C;paipa_r
juanyepes3;Oscar_GCh;friend;follower;#N/D;Apstefto1
YaDespierta;Oscar_GCh;friend;follower;#N/D;luismontana01
RamiroGelvez;Oscar_GCh;friend;mutual;#N/D;JacobitoPoveda
edwardvinchira;Oscar_GCh;friend;follower;#N/D;DanielV72536929
CEduardoSamper;Oscar_GCh;friend;mutual;#N/D;mi_musical
dragonnegro2395;Oscar_GCh;friend;mutual;#N/D;mcvm100
dogorchuito;Oscar_GCh;friend;mutual;#N/D;bayron_16
gro_91javier;Oscar_GCh;friend;follower;#N/D;Ralf0792
AlinaReyes87;Oscar_GCh;friend;mutual;#N/D;Maaurice_7
jair10686;Oscar_GCh;friend;mutual;#N/D;D___________C
edwinzagi;Oscar_GCh;mutual;mutual;edwinzagi;hejito1976
jovisacu31;Oscar_GCh;friend;follower;#N/D;DarioMartelo
gloriainesvale6;Oscar_GCh;friend;follower;#N/D;ppaterr1971
HelenaNupieri;Oscar_GCh;mutual;follower;HelenaNupieri;leoacmilan11
CelsoCelfido;Oscar_GCh;friend;follower;#N/D;luisfdomoreno
jvr1982;Oscar_GCh;friend;follower;#N/D;otrolaico
alemagno26;Oscar_GCh;friend;follower;#N/D;DuvisRosado1
Kagicg;Oscar_GCh;friend;follower;#N/D;NovoaLuis1
VelandiaZuluaga;Oscar_GCh;friend;follower;#N/D;haroldm77
deisa_rayo;Oscar_GCh;friend;follower;#N/D;TucanBengala
fernandonaranjo;Oscar_GCh;friend;follower;#N/D;hans_tapias
luchovi01;Oscar_GCh;friend;follower;#N/D;hufergo3926
VEEDURIAHORUS;Oscar_GCh;friend;follower;#N/D;Jespi20011
PESCAO_VIVO;Oscar_GCh;friend;follower;#N/D;dorismenesesv1
Itiel;Oscar_GCh;friend;follower;#N/D;angela_mrb
jorgehortaculma;Oscar_GCh;friend;follower;#N/D;MiltonEscalant9
GilbenFa;Oscar_GCh;friend;follower;#N/D;RGonzalezM08
aguaaceite;Oscar_GCh;friend;follower;#N/D;giraldo_ma1
Im_Rugg;Oscar_GCh;friend;follower;#N/D;alejoxg
ReinoldesGir;Oscar_GCh;follower;;;
Jamirsanchez7;Oscar_GCh;follower;;;
lualforu;Oscar_GCh;follower;;;
Charly08640984;Oscar_GCh;follower;;;
Nirvana92584482;Oscar_GCh;follower;;;
ElFisgo27378862;Oscar_GCh;follower;;;
osorio_jurado;Oscar_GCh;follower;;;
alexdiazcauca;Oscar_GCh;follower;;;
thisgoblin;Oscar_GCh;follower;;;
Joan_che98;Oscar_GCh;follower;;;
Mauro69maximo;Oscar_GCh;follower;;;
Apstefto1;Oscar_GCh;follower;;;
luismontana01;Oscar_GCh;follower;;;
DanielV72536929;Oscar_GCh;follower;;;
Ralf0792;Oscar_GCh;follower;;;
DarioMartelo;Oscar_GCh;follower;;;
ppaterr1971;Oscar_GCh;follower;;;
leoacmilan11;Oscar_GCh;follower;;;
luisfdomoreno;Oscar_GCh;follower;;;
otrolaico;Oscar_GCh;follower;;;
DuvisRosado1;Oscar_GCh;follower;;;
NovoaLuis1;Oscar_GCh;follower;;;
haroldm77;Oscar_GCh;follower;;;
TucanBengala;Oscar_GCh;follower;;;
hans_tapias;Oscar_GCh;follower;;;
hufergo3926;Oscar_GCh;follower;;;
Jespi20011;Oscar_GCh;follower;;;
dorismenesesv1;Oscar_GCh;follower;;;
angela_mrb;Oscar_GCh;follower;;;
MiltonEscalant9;Oscar_GCh;follower;;;
RGonzalezM08;Oscar_GCh;follower;;;
giraldo_ma1;Oscar_GCh;follower;;;
alejoxg;Oscar_GCh;follower;;;
