Source;Target;Kind;Función Follo;Función Frie;Followers
JusticiaeIgual1;RgGarciacaceres;friend;follower;#N/D;Humbertogonk
729Zander;RgGarciacaceres;friend;mutual;#N/D;LUISKA347
OpinoPoliticaCO;RgGarciacaceres;friend;mutual;#N/D;lugicas
lugicas;RgGarciacaceres;mutual;mutual;lugicas;UribistaSiempr
JuanchoSoy2;RgGarciacaceres;friend;mutual;#N/D;EstelaGomezGom2
EstelaGomezGom2;RgGarciacaceres;mutual;mutual;EstelaGomezGom2;reymaranz
LUISKA347;RgGarciacaceres;mutual;mutual;LUISKA347;SieteEstrellas6
reymaranz;RgGarciacaceres;mutual;mutual;reymaranz;nandophc
UribistaSiempr;RgGarciacaceres;mutual;mutual;UribistaSiempr;lucecita1979
olimpo1980lopez;RgGarciacaceres;friend;mutual;#N/D;cesarcastricord
LAPlazasVega;RgGarciacaceres;friend;follower;#N/D;TOLATO21
JulianaVallej;RgGarciacaceres;friend;mutual;#N/D;nanita0130
nandophc;RgGarciacaceres;mutual;mutual;nandophc;DoctorXCongreso
San_Esteban_;RgGarciacaceres;friend;follower;#N/D;fagomez81
lucecita1979;RgGarciacaceres;mutual;follower;lucecita1979;MaruenEdut
Gustavo60195928;RgGarciacaceres;friend;mutual;#N/D;charliecaliche
LPardo1970;RgGarciacaceres;friend;mutual;#N/D;lucafanador
oscar_gallego;RgGarciacaceres;friend;follower;#N/D;ubmhumber
cesarcastricord;RgGarciacaceres;mutual;follower;cesarcastricord;marucx18
SieteEstrellas6;RgGarciacaceres;mutual;follower;SieteEstrellas6;AndresLopezALA2
JPEcheverry4;RgGarciacaceres;friend;follower;#N/D;Crislonpu
criticadura5;RgGarciacaceres;friend;follower;#N/D;Vitonas_yatacue
JuanRosal2103;RgGarciacaceres;friend;mutual;#N/D;Haroldmonroyca1
NatysJaram;RgGarciacaceres;friend;follower;#N/D;JulianPapamija
RoyalFamily;RgGarciacaceres;friend;mutual;#N/D;rafa_uribe
Francis49524834;RgGarciacaceres;friend;follower;#N/D;Viviana67196869
juliomulford62;RgGarciacaceres;friend;follower;#N/D;jdfjdf
osclau2010;RgGarciacaceres;friend;follower;#N/D;Rincon001A
SoyAlexander25;RgGarciacaceres;friend;follower;#N/D;KettyCastillo8
danielcjz;RgGarciacaceres;friend;follower;#N/D;MonikEmiliaC6
MarcoHe32551018;RgGarciacaceres;friend;follower;#N/D;MaryF12127430
MariuxiCevall18;RgGarciacaceres;friend;follower;#N/D;LAMATARIFE
Haroldmonroyca1;RgGarciacaceres;mutual;follower;Haroldmonroyca1;OLGUIN_MAYORGA
CarolinaCampoR6;RgGarciacaceres;friend;follower;#N/D;hectororlandov
rafa_uribe;RgGarciacaceres;mutual;follower;rafa_uribe;derecha_tu
Daniela08158090;RgGarciacaceres;friend;follower;#N/D;FernandoNapol19
erika_paolamc;RgGarciacaceres;friend;follower;#N/D;criticolombia
gabrielCadavi14;RgGarciacaceres;friend;follower;#N/D;Alejand49441397
NaranjoHebert;RgGarciacaceres;friend;follower;#N/D;JEAM_79
Parq1230;RgGarciacaceres;friend;follower;#N/D;mariaclaraumana
AndresO98293784;RgGarciacaceres;friend;follower;#N/D;mvicenteriveros
DoctorXCongreso;RgGarciacaceres;mutual;follower;DoctorXCongreso;Hunter_G77
lucafanador;RgGarciacaceres;mutual;follower;lucafanador;Leo_uribista
nanita0130;RgGarciacaceres;mutual;follower;nanita0130;JosManu96511103
charliecaliche;RgGarciacaceres;mutual;follower;charliecaliche;miguel_2821
LUISEDUARDOURB;RgGarciacaceres;friend;follower;#N/D;HeyOpino
pastorcarlosjon;RgGarciacaceres;friend;follower;#N/D;Ruedalo6
aura2707;RgGarciacaceres;friend;follower;#N/D;uribista_yecid
luluwex8877;RgGarciacaceres;friend;follower;#N/D;efrainegrette
NancyArboleda16;RgGarciacaceres;friend;follower;#N/D;patoqui62
Humbertogonk;RgGarciacaceres;follower;;;
TOLATO21;RgGarciacaceres;follower;;;
fagomez81;RgGarciacaceres;follower;;;
MaruenEdut;RgGarciacaceres;follower;;;
ubmhumber;RgGarciacaceres;follower;;;
marucx18;RgGarciacaceres;follower;;;
AndresLopezALA2;RgGarciacaceres;follower;;;
Crislonpu;RgGarciacaceres;follower;;;
Vitonas_yatacue;RgGarciacaceres;follower;;;
JulianPapamija;RgGarciacaceres;follower;;;
Viviana67196869;RgGarciacaceres;follower;;;
jdfjdf;RgGarciacaceres;follower;;;
Rincon001A;RgGarciacaceres;follower;;;
KettyCastillo8;RgGarciacaceres;follower;;;
MonikEmiliaC6;RgGarciacaceres;follower;;;
MaryF12127430;RgGarciacaceres;follower;;;
LAMATARIFE;RgGarciacaceres;follower;;;
OLGUIN_MAYORGA;RgGarciacaceres;follower;;;
hectororlandov;RgGarciacaceres;follower;;;
derecha_tu;RgGarciacaceres;follower;;;
FernandoNapol19;RgGarciacaceres;follower;;;
criticolombia;RgGarciacaceres;follower;;;
Alejand49441397;RgGarciacaceres;follower;;;
JEAM_79;RgGarciacaceres;follower;;;
mariaclaraumana;RgGarciacaceres;follower;;;
mvicenteriveros;RgGarciacaceres;follower;;;
Hunter_G77;RgGarciacaceres;follower;;;
Leo_uribista;RgGarciacaceres;follower;;;
JosManu96511103;RgGarciacaceres;follower;;;
miguel_2821;RgGarciacaceres;follower;;;
HeyOpino;RgGarciacaceres;follower;;;
Ruedalo6;RgGarciacaceres;follower;;;
uribista_yecid;RgGarciacaceres;follower;;;
efrainegrette;RgGarciacaceres;follower;;;
patoqui62;RgGarciacaceres;follower;;;
