Source	Target	Kind	f.follower		followers
cuentode_terror	foxmcloudz	friend	follower	0	mauromarinm
Matador000	foxmcloudz	friend	mutual	0	johana_0717
felipepalau	foxmcloudz	friend	mutual	0	Mov_AnimalCol
BenkosBiohoFarc	foxmcloudz	friend	mutual	0	MamertoApoliti1
ProgIntl_ES	foxmcloudz	friend	mutual	0	lianaythiago
ProgIntl	foxmcloudz	friend	mutual	0	Pascualdelbosq1
BrandalismoC	foxmcloudz	friend	mutual	0	GPerezPardo
matarifecolombi	foxmcloudz	friend	mutual	0	Neferti23403449
noamchomskyT	foxmcloudz	friend	follower	0	AlianzaFalsa
peterframpton	foxmcloudz	friend	mutual	0	EstebanMaldad
Memo_Baquero	foxmcloudz	friend	mutual	0	NucheCaricatura
Pep_Erazo	foxmcloudz	friend	mutual	0	Petrosk66254705
SergioFajardo32	foxmcloudz	friend	mutual	0	Cepeto4
anibalgaviria	foxmcloudz	friend	mutual	0	molinataborda
FalaciaDelDia	foxmcloudz	friend	follower	0	gener_usuga
JorgeIvanOspina	foxmcloudz	friend	follower	0	JohnGVibes
Rivas_Santiago	foxmcloudz	friend	follower	0	oidesculpa
LAETNNIA527	foxmcloudz	friend	follower	0	edemori1
ATA527MUZIK	foxmcloudz	friend	follower	0	akinestea24
KaiserPimienta	foxmcloudz	friend	follower	0	MelissaDeEle
johana_0717	foxmcloudz	mutual	follower	johana_0717	Javierwithmojo
nayibbukele	foxmcloudz	friend	follower	0	DavidMor03
Mov_AnimalCol	foxmcloudz	mutual	follower	Mov_AnimalCol	CamiloJRS
MamertoApoliti1	foxmcloudz	mutual	follower	MamertoApoliti1	DuvanC15
ColDesconocida	foxmcloudz	friend	follower	0	La_Pestilencia
lianaythiago	foxmcloudz	mutual	follower	lianaythiago	lachlanhorne
Pascualdelbosq1	foxmcloudz	mutual	follower	Pascualdelbosq1	ManuelSantanaM4
giuliogrossow	foxmcloudz	mutual	follower	giuliogrossow	FILTROSANT
GPerezPardo	foxmcloudz	mutual	follower	GPerezPardo	Mariohenaoz
jerrymcdermott	foxmcloudz	friend	follower	0	SenoraCartoon05
Neferti23403449	foxmcloudz	mutual	follower	Neferti23403449	jorgeprotesta
NatGeo	foxmcloudz	friend	follower	0	Genteconvos_
andrefelgiraldo	foxmcloudz	friend	follower	0	Mariocaicedo21
EstebanMaldad	foxmcloudz	mutual	follower	EstebanMaldad	genteconvos
rosmyher	foxmcloudz	friend	follower	0	LubiankaP
RodrigoUprimny	foxmcloudz	friend	mutual	0	giuliogrossow
yohirakerman	foxmcloudz	friend	follower	0	_El_Discolo_
ReveladosCol	foxmcloudz	friend	follower	0	Nina_Gullot
NucheCaricatura	foxmcloudz	mutual	follower	NucheCaricatura	joselenis25
MONYRODRIGUEZOF	foxmcloudz	friend	follower	0	sebaquiropa
RollingStoneCol	foxmcloudz	friend	follower	0	GABRIELJAIMEAY
xciegox	foxmcloudz	friend	follower	0	FisicoImpuro
subcantante	foxmcloudz	friend	follower	0	ChalecosAmarill
Petrosk66254705	foxmcloudz	mutual	follower	Petrosk66254705	Nasta38706210
Cepeto4	foxmcloudz	mutual	follower	Cepeto4	sergio_serrano_
molinataborda	foxmcloudz	mutual	follower	molinataborda	GustavoBolivar
Mar_Cherbonneau	foxmcloudz	friend	follower	0	chvrrybvmbb
halliee97	foxmcloudz	friend	follower	0	Medellindependi
Marianiniecheve	foxmcloudz	friend	follower	0	Pontela10p
WilliamOpina	foxmcloudz	friend	follower	0	Viktorhpena
