,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,21:56
,>>> Analyzed user:,democracee
,>>> Information:,Followers
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,17588876,♚Speed The Spartan,SpeedTheSpartan,"👑Spartan Greek (Yes, like 300.) PR. Brand & Creative Consultant. Writer.  Been around the world & I...🗝️ (RTs & Likes are not endorsements)",http://pbs.twimg.com/profile_images/1032915351514886145/dWQwyH4g_normal.jpg,http://abs.twimg.com/images/themes/theme6/bg.gif,2008-11-24 09:08:55,Manhattan - NYC,,False,20735,18492,34587,521,86407,False,
2,1176580103968567296,Jake Ketchum - Disgusted by DJT’s Lies - Vote Blue,JakeKetchum5,“Every absurdity has a champion to defend it.” Oliver Goldsmith | Stop telling me a green apple is red just because you heard it on Fox News. #JOE2020 #BLM,http://pbs.twimg.com/profile_images/1268060477243834371/hJUfI8-P_normal.jpg,,2019-09-24 19:32:22,United States,,True,10526,10762,12054,6,9145,False,
3,1224867831906553858,Susan 🌊🌊🌊🌊. RIDIN WITH BIDEN,susanadili52,No DM’s...... TRUMP MUST GO!!! VOTE BIDEN TO SAVE AMERICA!!! BLUE WAVE IS COMING NOVEMBER 3RD!!!! TRUMP & GOP ARE TRAITORS TO OUR COUNTRY.,http://pbs.twimg.com/profile_images/1285669536516263936/959rJEbb_normal.jpg,,2020-02-05 01:30:35,"Georgia, USA",,False,3055,3611,12330,3,7250,False,
4,1272239360633483264,Jeimi G,JeimiG1,"mother of 2, #BLM, #RESIST, #LGBTQ, FUCK DONALD TRUMP AND ALL HIS MINIONS",http://pbs.twimg.com/profile_images/1272239558654980096/ufNoUW3-_normal.jpg,,2020-06-14 18:48:21,,,False,407,379,941,3,1649,False,
5,525595860,northierthanthou.com,Brimshack,"I live as far north as you can go in the U.S. I blog because what the Hell else am I gonna do? It's cold out there. Read my blog, dammit!",http://pbs.twimg.com/profile_images/1265524803747885057/jozqPUFk_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2012-03-15 17:59:40,Top of the World,,True,110581,109499,89986,489,282489,False,
6,14942415,Dr. R. Davis PhD,Grumpi,"🇱🇷Disabled USN, Retired Paramedic, Retired 👮‍♀️ #FBR #Resistance #VetsResistSquadron #VoteBlue #Biden2020  #BlueDot #Resist #PRU #UniteBlue #IMPOTUS",http://pbs.twimg.com/profile_images/1192526220623273985/0aHc5Q0W_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2008-05-29 09:04:20,Northern NY,,False,10329,10897,6543,4,4006,False,
7,3369927515,Adriane,AuthorAdriane,"CNA, music enthusiast, all around badass.",http://pbs.twimg.com/profile_images/1285374559412277248/5lU2U4vK_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-07-10 22:53:53,"Mississippi, USA",,False,79,277,115,0,152,False,
8,930546152830840832,☠️Metal Godz☠️,godz_metal,"¯\_(ツ)_/¯ “If you could see inside my head, you’d see, that black and white is red. Flying high again”   #DumpTя☭mp",http://pbs.twimg.com/profile_images/1085668753101209601/FUzk_EZE_normal.jpg,,2017-11-14 21:21:06,United States,,False,1354,976,52033,1,334718,False,
9,1252716227711172614,Publius Texanicus,miles48448162,There can be no transforming of darkness into light and of apathy into movement without emotion.,http://pbs.twimg.com/profile_images/1269867051788746752/8zV8WU8q_normal.jpg,,2020-04-21 21:50:08,,,True,1563,2608,7096,1,2441,False,
10,1010242769393192960,Yellow Dog Dem,dog_dem,"Lifelong liberal. NMB, SC 🌊 🌊 🌊",http://pbs.twimg.com/profile_images/1010249144487665664/FWT7DN8K_normal.jpg,,2018-06-22 19:27:00,,,False,367,620,4678,0,31360,False,
11,1127904025863696385,The Unapologetic Squirrel,educated_adult2,Back Up to The Unruly Squirrel @educatedadult1  #TKA  #Z1 #OneVoice1 #BeTheChange #Fresh,http://pbs.twimg.com/profile_images/1288054371905949697/clNBqHOI_normal.jpg,,2019-05-13 11:50:49,"Nueva York, USA",,False,2913,3053,18998,3,24271,False,
12,1286881598,PDXMurph,gerryamurphy,Fired up for in defense of our democracy. All in for #Biden2020 #FBR #DetestTrump #VoteBlue #DitchMitch #YNWA #FlipSenateBlue #StrongerTogether,http://pbs.twimg.com/profile_images/1287822447262105600/PnOKAk8g_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-03-21 20:23:30,"Portland, OR",,False,490,957,224,0,123,False,
13,810355017257455620,Staycee,stayceespeaks,"Ewww Trump! I’m deeply concerned 4 our country. I love people and animals and smart asses! Mom of Jaden! Dog & Cat Mom, #Resist #WeWantJoe #BLM #BlueWave2020",http://pbs.twimg.com/profile_images/1286557541007163392/IN1Rl7me_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2016-12-18 05:24:26,"Litchfield Park, AZ",,False,5652,5556,3164,7,4282,False,
14,2779811025,🌊IAmMolicious🌊,MochaPrincessRT,All about dat Grind! My Family and My Friends. #VOTEBLUE4ABETTERUSA #Resist 🌊🌊🌊🌊🌊🌊🌊🌊NO DM and if you follow 🍊🤡 don't bother,http://pbs.twimg.com/profile_images/1274935015583830022/hrCPJL3o_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-09-22 00:35:30,"Brooklyn, NY",,False,1392,1854,8271,4,24742,False,
15,3119037130,Max Hawthorne,max_hawthorne,"#PrinceofPaleofiction bestselling author of the KRONOS RISING series, Book of the Year & People's Choice award winner, amateur paleontologist, & Master Angler",http://pbs.twimg.com/profile_images/983149176300154880/oiC38_T7_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-03-26 15:31:04,Wherever Sea Monsters Swim!,,False,930,482,6023,1,430,False,
16,983143425850699777,Dark Lords | Villains | Monsters | Tacos | Books,darklordjournal,"Bestselling author, event promoter, monster, #Villainpunk.  Dark Lord. Free stories: https://t.co/ix9H0CcDH7. New novel: ""I HATE Your Prophecy"", now in pre-sales.",http://pbs.twimg.com/profile_images/1139630655841734661/hAJBkJlx_normal.png,,2018-04-09 00:43:53,"Mordor, New Jersey",,True,23276,12804,29219,106,39053,False,
17,966147237305880577,dblanch256,dblanch256,"I love America, possibly more than God does, because he also created ""un-American"" countries.  Finally, I told that I believe everything Donald Trump says.",http://pbs.twimg.com/profile_images/1060212130241101824/0a1_0oND_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-02-21 03:07:06,"Houston, TX",,False,3554,3512,22033,0,10821,False,
18,3011786203,sharyn lane,nanasharyn5,🌊🌊🌊Vote them out! Make America Blue again!💙💙 BIDEN/WARREN People do not deserve DOGS❤️❤️#say his name George Floyd,http://pbs.twimg.com/profile_images/1263639005599424512/-Njye3QQ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-02-06 23:47:27,"San Jacinto, CA",,True,24392,24538,17302,9,50001,False,
19,3112221568,AudreyAmelia🌊🌊🌊,audreyameilia,"🌊 Mother for Truth, Justice, and Peace. Resist and protect the oppressed. #Warren2020 BLM",http://pbs.twimg.com/profile_images/1285669840745910274/QdOiQ6Md_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-03-25 00:11:33,,,False,5177,5301,45699,4,57614,False,
20,1046424529025847296,RonSummers,RonSummers18,#IProud Democrat. #VoteBlueNoMatterWho. #BlueWaveInaRedState. #CloseTheCamps #NeverTrump. #Resist #MoscowMitch. #Animal lover No DMs,http://pbs.twimg.com/profile_images/1046425636787695616/JYS2Pbgh_normal.jpg,,2018-09-30 15:40:24,"Crooked Creek, Indianapolis",,True,5127,5014,6246,1,9675,False,
